Time	[x1]	[x2]	[ppERK(nucleus)]	[DUSP]	[pRSKn]	[cFOS preRNA]	[cFOS]	[pc-FOS]	[cFOSmRNA]	[ppERK(cytosol)]
16	1.08406	0.0963243	0.164708	2.85592	0.110921	0.214536	0.433068	0.182342	0.712799	0.987733
17	1.08571	0.102237	0.159955	3.01823	0.110537	0.210209	0.479714	0.219599	0.760078	0.983472
18	1.0869	0.108137	0.155467	3.17592	0.109778	0.204918	0.523683	0.259177	0.801394	0.978765
19	1.08776	0.114024	0.151229	3.32925	0.108721	0.198954	0.564566	0.300574	0.836818	0.973739
20	1.08838	0.119899	0.147228	3.47846	0.107428	0.192549	0.602091	0.343284	0.866536	0.968486
21	1.08883	0.125762	0.143446	3.62378	0.105954	0.185885	0.636108	0.38682	0.890823	0.963072
22	1.08916	0.131612	0.139868	3.76542	0.104344	0.179103	0.666558	0.430719	0.910006	0.957546
23	1.08939	0.13745	0.136478	3.90358	0.102636	0.172309	0.693463	0.474552	0.924449	0.951942
24	1.08956	0.143276	0.133261	4.03843	0.100858	0.165586	0.716901	0.51793	0.934532	0.946285
25	1.08968	0.149089	0.130205	4.17015	0.0990378	0.158992	0.736994	0.560502	0.940638	0.940594
26	1.08977	0.15489	0.127296	4.29889	0.0971941	0.152571	0.753896	0.60196	0.943147	0.934881
27	1.08983	0.160678	0.124524	4.42479	0.0953437	0.146354	0.767783	0.642038	0.942426	0.929157
28	1.08988	0.166455	0.121877	4.54798	0.0934997	0.140358	0.778844	0.680508	0.938826	0.923426
29	1.08991	0.172219	0.119347	4.66858	0.0916723	0.134597	0.787274	0.717184	0.932678	0.917695
30	1.08994	0.177971	0.116925	4.78671	0.0898698	0.129076	0.793269	0.751912	0.924294	0.911967
31	1.08996	0.18371	0.114604	4.90247	0.0880982	0.123796	0.797026	0.784572	0.913959	0.906245
32	1.08997	0.189438	0.112375	5.01595	0.0863624	0.118755	0.798734	0.815075	0.901941	0.90053
33	1.08998	0.195153	0.110234	5.12725	0.0846656	0.113949	0.798576	0.843358	0.888481	0.894823
34	1.08998	0.200857	0.108174	5.23645	0.0830101	0.109371	0.796728	0.869384	0.873803	0.889126
35	1.08999	0.206548	0.106189	5.34362	0.0813976	0.105013	0.793355	0.893137	0.858108	0.88344
36	1.08999	0.212227	0.104276	5.44885	0.0798289	0.100866	0.788612	0.914619	0.841576	0.877764
37	1.08999	0.217895	0.102429	5.55219	0.0783042	0.096921	0.782647	0.933849	0.824373	0.872099
38	1.09	0.22355	0.100644	5.65373	0.0768233	0.0931691	0.775594	0.950862	0.806644	0.866446
39	1.09	0.229193	0.0989187	5.7535	0.0753858	0.0896005	0.767579	0.965703	0.78852	0.860803
40	1.09	0.234825	0.0972487	5.85158	0.073991	0.0862057	0.758719	0.978428	0.770118	0.855173
41	1.09	0.240444	0.0956306	5.94802	0.0726379	0.0829758	0.74912	0.989101	0.751539	0.849554
42	1.09	0.246051	0.094062	6.04286	0.0713254	0.0799016	0.738882	0.997795	0.732876	0.843947
43	1.09	0.251647	0.0925401	6.13616	0.0700523	0.0769748	0.728094	1.00458	0.714206	0.838352
44	1.09	0.257231	0.0910625	6.22795	0.0688173	0.074187	0.716838	1.00955	0.695599	0.832768
45	1.09	0.262803	0.0896267	6.3183	0.0676191	0.0715305	0.705189	1.01278	0.677115	0.827197
46	1.09	0.268363	0.0882307	6.40722	0.0664564	0.0689978	0.693216	1.01435	0.658807	0.821637
47	1.09	0.273912	0.0868725	6.49477	0.0653279	0.0665819	0.680979	1.01436	0.640717	0.816088
48	1.09	0.279448	0.0855503	6.58098	0.0642321	0.0642761	0.668536	1.01289	0.622885	0.810552
49	1.09	0.284973	0.0842623	6.66588	0.0631679	0.0620743	0.655937	1.01003	0.605341	0.805027
50	1.09	0.290487	0.083007	6.74951	0.0621338	0.0599704	0.643226	1.00587	0.588112	0.799513
51	1.09	0.295988	0.0817828	6.83191	0.0611287	0.057959	0.630446	1.00048	0.57122	0.794012
52	1.09	0.301478	0.0805883	6.91309	0.0601514	0.056035	0.617633	0.993964	0.554681	0.788522
53	1.09	0.306956	0.0794222	6.99309	0.0592006	0.0541934	0.604818	0.986391	0.53851	0.783043
54	1.09	0.312423	0.0782833	7.07194	0.0582753	0.0524296	0.592032	0.977842	0.522716	0.777577
55	1.09	0.317878	0.0771705	7.14967	0.0573743	0.0507395	0.579301	0.968396	0.507307	0.772122
56	1.09	0.323322	0.0760825	7.22629	0.0564967	0.049119	0.566647	0.958126	0.492288	0.766678
57	1.09	0.328754	0.0750184	7.30184	0.0556415	0.0475643	0.554091	0.947104	0.477661	0.761246
58	1.09	0.334175	0.0739773	7.37634	0.0548077	0.0460719	0.541651	0.935398	0.463426	0.755825
59	1.09	0.339584	0.0729582	7.4498	0.0539944	0.0446386	0.529342	0.923073	0.449584	0.750416
60	1.09	0.344982	0.0719602	7.52226	0.0532007	0.0432613	0.517179	0.910193	0.436131	0.745018
61	1.09	0.350368	0.0709826	7.59373	0.0524259	0.0419371	0.505173	0.896817	0.423063	0.739632
62	1.09	0.355743	0.0700245	7.66423	0.0516692	0.0406632	0.493333	0.883001	0.410376	0.734257
63	1.09	0.361106	0.0690853	7.73378	0.0509298	0.0394372	0.48167	0.868799	0.398064	0.728894
64	1.09	0.366458	0.0681642	7.80241	0.0502071	0.0382566	0.470189	0.854263	0.386121	0.723542
65	1.09	0.371799	0.0672605	7.87012	0.0495003	0.0371192	0.458898	0.839439	0.374539	0.718201
66	1.09	0.377129	0.0663737	7.93693	0.0488089	0.036023	0.4478	0.824373	0.363311	0.712871
67	1.09	0.382447	0.0655033	8.00287	0.0481322	0.0349659	0.436901	0.809108	0.35243	0.707553
68	1.09	0.387754	0.0646484	8.06795	0.0474697	0.0339461	0.426203	0.793683	0.341886	0.702246
69	1.09	0.39305	0.0638087	8.13217	0.0468208	0.0329619	0.415708	0.778136	0.331671	0.69695
70	1.09	0.398334	0.0629837	8.19557	0.046185	0.0320116	0.405417	0.762501	0.321777	0.691666
71	1.09	0.403608	0.0621728	8.25815	0.0455619	0.0310937	0.395333	0.746812	0.312195	0.686392
72	1.09	0.40887	0.0613756	8.31992	0.0449509	0.0302067	0.385454	0.731097	0.302917	0.68113
73	1.09	0.414121	0.0605917	8.3809	0.0443516	0.0293492	0.375782	0.715386	0.293932	0.675879
74	1.09	0.419361	0.0598205	8.44111	0.0437636	0.02852	0.366314	0.699704	0.285234	0.670639
75	1.09	0.42459	0.0590619	8.50055	0.0431865	0.0277178	0.357051	0.684075	0.276812	0.66541
76	1.09	0.429808	0.0583152	8.55923	0.0426199	0.0269415	0.347991	0.668522	0.268659	0.660192
77	1.09	0.435014	0.0575802	8.61718	0.0420635	0.0261899	0.339131	0.653064	0.260765	0.654986
78	1.09	0.44021	0.0568565	8.6744	0.0415168	0.0254621	0.33047	0.637721	0.253124	0.64979
79	1.09	0.445395	0.0561438	8.7309	0.0409796	0.0247571	0.322007	0.622509	0.245725	0.644605
80	1.09	0.450569	0.0554417	8.78669	0.0404516	0.024074	0.313737	0.607444	0.238562	0.639431
81	1.09	0.455731	0.0547499	8.84178	0.0399324	0.0234117	0.305659	0.592541	0.231626	0.634269
82	1.09	0.460883	0.0540682	8.89619	0.0394217	0.0227696	0.29777	0.577811	0.224911	0.629117
83	1.09	0.466024	0.0533962	8.94992	0.0389194	0.022147	0.290067	0.563265	0.218408	0.623976
84	1.09	0.471154	0.0527337	9.00299	0.0384251	0.0215429	0.282546	0.548914	0.21211	0.618846
85	1.09	0.476274	0.0520804	9.05539	0.0379385	0.0209567	0.275206	0.534767	0.206011	0.613726
86	1.09	0.481382	0.0514361	9.10715	0.0374595	0.0203877	0.268042	0.520833	0.200103	0.608618
87	1.09	0.48648	0.0508004	9.15827	0.0369878	0.0198352	0.261052	0.507117	0.19438	0.60352
88	1.09	0.491566	0.0501732	9.20876	0.0365232	0.0192988	0.254231	0.493627	0.188835	0.598434
89	1.09	0.496643	0.0495543	9.25862	0.0360654	0.0187777	0.247577	0.480367	0.183463	0.593357
90	1.09	0.501708	0.0489434	9.30787	0.0356144	0.0182714	0.241087	0.467342	0.178257	0.588292
91	1.09	0.506762	0.0483403	9.35651	0.0351698	0.0177794	0.234757	0.454555	0.173211	0.583238
92	1.09	0.511806	0.0477448	9.40455	0.0347314	0.0173012	0.228583	0.44201	0.168321	0.578194
93	1.09	0.51684	0.0471567	9.452	0.0342992	0.0168364	0.222563	0.429707	0.16358	0.57316
94	1.09	0.521862	0.0465759	9.49887	0.033873	0.0163843	0.216693	0.41765	0.158983	0.568138
95	1.09	0.526874	0.0460021	9.54515	0.0334525	0.0159447	0.210969	0.405839	0.154525	0.563126
96	1.09	0.531875	0.0454351	9.59087	0.0330376	0.0155171	0.205389	0.394275	0.150202	0.558125
97	1.09	0.536866	0.0448749	9.63603	0.0326282	0.015101	0.199949	0.382957	0.146008	0.553134
98	1.09	0.541846	0.0443212	9.68062	0.0322241	0.0146962	0.194647	0.371885	0.14194	0.548154
99	1.09	0.546816	0.0437739	9.72467	0.0318251	0.0143022	0.189478	0.36106	0.137993	0.543184
100	1.09	0.551775	0.0432328	9.76817	0.0314312	0.0139186	0.184439	0.350478	0.134162	0.538225
