Time	[aca]	[oaa]	[coa]	[cit]	[icit]	[akg]	[sca]	[suc]	[fa]	[mal]	[gly]	[biosyn]
68	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
69	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
70	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
71	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
72	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
73	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
74	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
75	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
76	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
77	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
78	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
79	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
80	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
81	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
82	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
83	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
84	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
85	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
86	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
87	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
88	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
89	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
90	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
91	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
92	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
93	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
94	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
95	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
96	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
97	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
98	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
99	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
100	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
