Time	[Carrier_Cytosol]	[Carrier_RanGTP_Cytosol]	[RanGAP_Cytosol]	[RanBP1_Cytosol]	[RanBP1_Carrier_RanGTP_Cytosol]	[NTF2_Nucleus]	[RanGDP_Nucleus]	[RCC1_Nucleus]	[RanGTP_Nucleus]	[NTF2_RanGDP_Nucleus]	[Carrier_Nucleus]	[RanGDP_Cytosol]	[Carrier_RanGTP_Nucleus]	[NTF2_RanGDP_Cytosol]	[FRanGTP_Cytosol]	[FCarrier_RanGTP_Cytosol]	[FRanGDP_Cytosol]	[FNTF2_RanGDP_Cytosol]	[FRanBP1_Carrier_RanGTP_Cytosol]	[FCarrier_RanGTP_Nucleus]	[FRanGDP_Nucleus]	[FNTF2_RanGDP_Nucleus]	[FRanGTP_Nucleus]	[NTF2_Cytosol]	[Pipet_Cytosol]	[RanGTP_Cytosol]
10	11.7167	0.00172855	0.5	2.91307	0.0787336	0.595068	0.0398422	0.4	0.0114064	0.826236	10.5661	2.21849	10.9288	1.32945	0	0.00020738	0.262097	0.153473	0.00819448	1.32602	0.00413889	0.0786962	0.00141599	0.0170769	0	0
11	11.7113	0.00172679	0.5	2.91299	0.0786315	0.594073	0.040055	0.4	0.0114028	0.829452	10.5618	2.21785	10.9176	1.33338	0	0.000211842	0.255246	0.149501	0.0083812	1.35436	0.00402981	0.0764744	0.00143911	0.0171244	0	0
12	11.7071	0.00172553	0.5	2.91292	0.078558	0.593305	0.0402193	0.4	0.0114008	0.831925	10.5583	2.21711	10.9096	1.33639	0	0.00021527	0.249985	0.14645	0.0085247	1.37612	0.00394585	0.07477	0.0014569	0.0171626	0	0
13	11.7037	0.00172465	0.5	2.91286	0.0785061	0.592713	0.0403458	0.4	0.0113999	0.833823	10.5554	2.21634	10.904	1.3387	0	0.000217902	0.245943	0.144109	0.00863495	1.39283	0.00388134	0.0734636	0.00147058	0.0171936	0	0
14	11.7009	0.00172405	0.5	2.91281	0.0784703	0.592259	0.0404429	0.4	0.0113998	0.835278	10.5531	2.21556	10.9001	1.34047	0	0.000219924	0.242834	0.142315	0.00871966	1.40566	0.00383183	0.0724629	0.00148111	0.0172188	0	0
15	11.6987	0.00172366	0.5	2.91277	0.0784463	0.59191	0.0405175	0.4	0.0114002	0.836393	10.5512	2.21479	10.8975	1.34182	0	0.000221476	0.240442	0.140941	0.00878472	1.41551	0.00379387	0.071697	0.00148923	0.0172394	0	0
16	11.6969	0.00172342	0.5	2.91273	0.0784311	0.591644	0.0405746	0.4	0.011401	0.837245	10.5496	2.21406	10.8959	1.34285	0	0.00022267	0.2386	0.139889	0.00883472	1.42308	0.00376479	0.071111	0.00149548	0.0172563	0	0
17	11.6954	0.00172329	0.5	2.9127	0.0784222	0.591441	0.0406182	0.4	0.0114021	0.837897	10.5483	2.21336	10.895	1.34365	0	0.000223587	0.237178	0.139085	0.00887316	1.4289	0.00374252	0.0706628	0.00150031	0.0172702	0	0
18	11.6941	0.00172324	0.5	2.91268	0.078418	0.591286	0.0406515	0.4	0.0114033	0.838394	10.5472	2.21271	10.8946	1.34425	0	0.000224294	0.23608	0.138469	0.00890274	1.43338	0.00372548	0.0703201	0.00150405	0.0172818	0	0
19	11.6931	0.00172324	0.5	2.91266	0.078417	0.591168	0.040677	0.4	0.0114045	0.838774	10.5462	2.21211	10.8945	1.34471	0	0.000224837	0.23523	0.137999	0.00892552	1.43683	0.00371245	0.0700582	0.00150694	0.0172915	0	0
20	11.6922	0.00172329	0.5	2.91264	0.0784183	0.591078	0.0406964	0.4	0.0114058	0.839064	10.5454	2.21155	10.8947	1.34506	0	0.000225257	0.234571	0.137639	0.00894307	1.43949	0.00370248	0.069858	0.00150918	0.0172997	0	0
21	11.6915	0.00172335	0.5	2.91262	0.0784212	0.59101	0.0407112	0.4	0.011407	0.839285	10.5447	2.21103	10.8951	1.34533	0	0.000225581	0.234058	0.137365	0.00895663	1.44154	0.00369485	0.069705	0.00151093	0.0173066	0	0
22	11.6909	0.00172344	0.5	2.91261	0.078425	0.590958	0.0407224	0.4	0.0114082	0.839454	10.5442	2.21056	10.8956	1.34553	0	0.000225832	0.233659	0.137155	0.00896711	1.44313	0.00368902	0.069588	0.00151229	0.0173125	0	0
23	11.6904	0.00172353	0.5	2.9126	0.0784294	0.590919	0.040731	0.4	0.0114094	0.839582	10.5436	2.21013	10.8961	1.34569	0	0.000226027	0.233346	0.136994	0.00897523	1.44436	0.00368456	0.0694987	0.00151335	0.0173176	0	0
24	11.6899	0.00172362	0.5	2.91258	0.0784341	0.59089	0.0407374	0.4	0.0114104	0.83968	10.5432	2.20973	10.8966	1.34581	0	0.000226178	0.233101	0.136872	0.00898154	1.44531	0.00368115	0.0694305	0.00151419	0.0173219	0	0
25	11.6896	0.00172372	0.5	2.91257	0.0784388	0.590867	0.0407424	0.4	0.0114115	0.839754	10.5428	2.20938	10.8972	1.3459	0	0.000226296	0.232907	0.136778	0.00898645	1.44606	0.00367855	0.0693783	0.00151485	0.0173257	0	0
26	11.6892	0.00172381	0.5	2.91257	0.0784436	0.590851	0.0407461	0.4	0.0114124	0.839811	10.5425	2.20905	10.8978	1.34596	0	0.000226388	0.232754	0.136706	0.00899028	1.44664	0.00367655	0.0693385	0.00151537	0.017329	0	0
27	11.6889	0.0017239	0.5	2.91256	0.0784482	0.590838	0.0407489	0.4	0.0114132	0.839854	10.5422	2.20876	10.8983	1.34602	0	0.00022646	0.232633	0.136652	0.00899329	1.44709	0.00367503	0.0693081	0.00151579	0.0173319	0	0
28	11.6887	0.00172399	0.5	2.91255	0.0784526	0.590829	0.040751	0.4	0.011414	0.839886	10.5419	2.20849	10.8988	1.34606	0	0.000226517	0.232536	0.13661	0.00899565	1.44745	0.00367386	0.0692848	0.00151612	0.0173344	0	0
29	11.6885	0.00172407	0.5	2.91255	0.0784567	0.590822	0.0407526	0.4	0.0114148	0.839911	10.5417	2.20825	10.8993	1.34609	0	0.000226562	0.232457	0.136578	0.00899751	1.44774	0.00367297	0.069267	0.00151639	0.0173366	0	0
30	11.6883	0.00172414	0.5	2.91254	0.0784606	0.590817	0.0407538	0.4	0.0114154	0.839929	10.5415	2.20803	10.8997	1.34611	0	0.000226598	0.232394	0.136554	0.00899899	1.44796	0.00367229	0.0692535	0.0015166	0.0173385	0	0
31	11.6881	0.00172421	0.5	2.91254	0.0784641	0.590814	0.0407547	0.4	0.011416	0.839943	10.5413	2.20784	10.9001	1.34612	0	0.000226626	0.232343	0.136535	0.00900017	1.44814	0.00367176	0.0692431	0.00151678	0.0173403	0	0
32	11.6879	0.00172428	0.5	2.91253	0.0784675	0.590811	0.0407554	0.4	0.0114166	0.839954	10.5411	2.20766	10.9005	1.34614	0	0.000226649	0.232301	0.136521	0.00900111	1.44828	0.00367136	0.0692352	0.00151692	0.0173418	0	0
33	11.6878	0.00172434	0.5	2.91253	0.0784705	0.590809	0.0407559	0.4	0.0114171	0.839962	10.541	2.2075	10.9009	1.34615	0	0.000226668	0.232266	0.13651	0.00900187	1.4484	0.00367106	0.0692291	0.00151704	0.0173431	0	0
34	11.6877	0.00172439	0.5	2.91252	0.0784733	0.590808	0.0407562	0.4	0.0114175	0.839968	10.5409	2.20736	10.9012	1.34615	0	0.000226683	0.232237	0.136502	0.00900249	1.44849	0.00367082	0.0692245	0.00151714	0.0173444	0	0
35	11.6876	0.00172444	0.5	2.91252	0.0784759	0.590807	0.0407565	0.4	0.0114179	0.839972	10.5407	2.20723	10.9015	1.34616	0	0.000226695	0.232213	0.136495	0.00900299	1.44857	0.00367064	0.069221	0.00151723	0.0173454	0	0
36	11.6875	0.00172448	0.5	2.91252	0.0784782	0.590806	0.0407567	0.4	0.0114183	0.839975	10.5406	2.20711	10.9018	1.34616	0	0.000226705	0.232193	0.13649	0.00900341	1.44863	0.0036705	0.0692182	0.0015173	0.0173464	0	0
37	11.6874	0.00172453	0.5	2.91252	0.0784803	0.590806	0.0407568	0.4	0.0114186	0.839978	10.5405	2.207	10.902	1.34617	0	0.000226714	0.232175	0.136487	0.00900375	1.44869	0.00367039	0.0692162	0.00151735	0.0173473	0	0
38	11.6873	0.00172456	0.5	2.91251	0.0784822	0.590806	0.0407569	0.4	0.0114189	0.83998	10.5405	2.20691	10.9022	1.34617	0	0.000226721	0.232161	0.136484	0.00900404	1.44873	0.00367031	0.0692146	0.0015174	0.017348	0	0
39	11.6872	0.0017246	0.5	2.91251	0.078484	0.590806	0.040757	0.4	0.0114192	0.839981	10.5404	2.20682	10.9024	1.34617	0	0.000226727	0.232148	0.136482	0.00900428	1.44877	0.00367025	0.0692134	0.00151745	0.0173487	0	0
40	11.6872	0.00172463	0.5	2.91251	0.0784855	0.590806	0.040757	0.4	0.0114194	0.839982	10.5403	2.20674	10.9026	1.34617	0	0.000226732	0.232137	0.13648	0.00900448	1.4488	0.0036702	0.0692124	0.00151748	0.0173493	0	0
41	11.6871	0.00172465	0.5	2.91251	0.078487	0.590806	0.040757	0.4	0.0114197	0.839982	10.5403	2.20667	10.9028	1.34617	0	0.000226736	0.232128	0.136479	0.00900465	1.44882	0.00367016	0.0692117	0.00151752	0.0173499	0	0
42	11.6871	0.00172468	0.5	2.91251	0.0784882	0.590806	0.040757	0.4	0.0114199	0.839983	10.5402	2.20661	10.9029	1.34617	0	0.000226739	0.23212	0.136478	0.00900479	1.44885	0.00367013	0.0692112	0.00151754	0.0173504	0	0
43	11.687	0.0017247	0.5	2.91251	0.0784894	0.590806	0.040757	0.4	0.01142	0.839983	10.5402	2.20656	10.903	1.34617	0	0.000226743	0.232113	0.136477	0.00900492	1.44887	0.00367011	0.0692108	0.00151757	0.0173508	0	0
44	11.687	0.00172472	0.5	2.9125	0.0784905	0.590806	0.040757	0.4	0.0114202	0.839983	10.5401	2.20651	10.9032	1.34617	0	0.000226745	0.232107	0.136476	0.00900503	1.44888	0.00367009	0.0692104	0.00151759	0.0173512	0	0
45	11.687	0.00172474	0.5	2.9125	0.0784914	0.590806	0.040757	0.4	0.0114204	0.839983	10.5401	2.20646	10.9033	1.34617	0	0.000226748	0.232101	0.136476	0.00900512	1.4489	0.00367008	0.0692102	0.00151761	0.0173516	0	0
46	11.6869	0.00172475	0.5	2.9125	0.0784923	0.590807	0.040757	0.4	0.0114205	0.839983	10.54	2.20642	10.9034	1.34617	0	0.00022675	0.232096	0.136475	0.0090052	1.44891	0.00367007	0.06921	0.00151763	0.0173519	0	0
47	11.6869	0.00172477	0.5	2.9125	0.078493	0.590807	0.040757	0.4	0.0114206	0.839983	10.54	2.20638	10.9035	1.34617	0	0.000226752	0.232092	0.136475	0.00900528	1.44892	0.00367006	0.0692098	0.00151764	0.0173522	0	0
48	11.6869	0.00172478	0.5	2.9125	0.0784937	0.590807	0.040757	0.4	0.0114207	0.839983	10.54	2.20635	10.9035	1.34617	0	0.000226753	0.232088	0.136475	0.00900534	1.44893	0.00367005	0.0692097	0.00151765	0.0173525	0	0
49	11.6868	0.00172479	0.5	2.9125	0.0784943	0.590807	0.040757	0.4	0.0114208	0.839983	10.54	2.20632	10.9036	1.34617	0	0.000226755	0.232085	0.136475	0.0090054	1.44894	0.00367004	0.0692096	0.00151767	0.0173527	0	0
50	11.6868	0.0017248	0.5	2.9125	0.0784949	0.590807	0.040757	0.4	0.0114209	0.839983	10.5399	2.20629	10.9037	1.34617	0	0.000226756	0.232082	0.136475	0.00900544	1.44895	0.00367004	0.0692096	0.00151768	0.0173529	0	0
51	11.6868	0.00172481	0.5	2.9125	0.0784954	0.590807	0.040757	0.4	0.011421	0.839983	10.5399	2.20627	10.9037	1.34617	0	0.000226757	0.232079	0.136475	0.00900549	1.44895	0.00367004	0.0692095	0.00151769	0.0173531	0	0
52	11.6868	0.00172482	0.5	2.9125	0.0784959	0.590807	0.040757	0.4	0.011421	0.839983	10.5399	2.20625	10.9038	1.34617	0	0.000226758	0.232077	0.136475	0.00900553	1.44896	0.00367003	0.0692095	0.00151769	0.0173533	0	0
53	11.6868	0.00172483	0.5	2.9125	0.0784963	0.590808	0.0407569	0.4	0.0114211	0.839983	10.5399	2.20623	10.9038	1.34617	0	0.000226759	0.232075	0.136474	0.00900556	1.44897	0.00367003	0.0692094	0.0015177	0.0173534	0	0
54	11.6868	0.00172484	0.5	2.9125	0.0784966	0.590808	0.0407569	0.4	0.0114212	0.839983	10.5399	2.20621	10.9039	1.34617	0	0.00022676	0.232073	0.136474	0.00900559	1.44897	0.00367003	0.0692094	0.00151771	0.0173536	0	0
55	11.6867	0.00172484	0.5	2.9125	0.078497	0.590808	0.0407569	0.4	0.0114212	0.839983	10.5399	2.20619	10.9039	1.34617	0	0.00022676	0.232071	0.136474	0.00900562	1.44897	0.00367003	0.0692094	0.00151771	0.0173537	0	0
56	11.6867	0.00172485	0.5	2.9125	0.0784973	0.590808	0.0407569	0.4	0.0114213	0.839983	10.5398	2.20618	10.904	1.34617	0	0.000226761	0.23207	0.136474	0.00900564	1.44898	0.00367003	0.0692094	0.00151772	0.0173538	0	0
57	11.6867	0.00172486	0.5	2.9125	0.0784975	0.590808	0.0407569	0.4	0.0114213	0.839983	10.5398	2.20617	10.904	1.34617	0	0.000226761	0.232068	0.136474	0.00900566	1.44898	0.00367003	0.0692094	0.00151772	0.0173539	0	0
58	11.6867	0.00172486	0.5	2.9125	0.0784978	0.590808	0.0407569	0.4	0.0114213	0.839983	10.5398	2.20615	10.904	1.34617	0	0.000226762	0.232067	0.136474	0.00900568	1.44898	0.00367002	0.0692094	0.00151773	0.017354	0	0
59	11.6867	0.00172486	0.5	2.9125	0.078498	0.590808	0.0407569	0.4	0.0114214	0.839983	10.5398	2.20614	10.904	1.34617	0	0.000226762	0.232066	0.136474	0.0090057	1.44899	0.00367002	0.0692093	0.00151773	0.0173541	0	0
60	11.6867	0.00172487	0.5	2.9125	0.0784982	0.590808	0.0407569	0.4	0.0114214	0.839983	10.5398	2.20613	10.9041	1.34617	0	0.000226763	0.232065	0.136474	0.00900572	1.44899	0.00367002	0.0692093	0.00151774	0.0173541	0	0
61	11.6867	0.00172487	0.5	2.9125	0.0784984	0.590808	0.0407569	0.4	0.0114214	0.839983	10.5398	2.20613	10.9041	1.34617	0	0.000226763	0.232064	0.136474	0.00900573	1.44899	0.00367002	0.0692093	0.00151774	0.0173542	0	0
62	11.6867	0.00172487	0.5	2.9125	0.0784985	0.590808	0.0407569	0.4	0.0114214	0.839983	10.5398	2.20612	10.9041	1.34617	0	0.000226763	0.232063	0.136474	0.00900574	1.44899	0.00367002	0.0692093	0.00151774	0.0173543	0	0
63	11.6867	0.00172488	0.5	2.9125	0.0784987	0.590808	0.0407569	0.4	0.0114215	0.839983	10.5398	2.20611	10.9041	1.34617	0	0.000226764	0.232062	0.136474	0.00900576	1.449	0.00367002	0.0692093	0.00151774	0.0173543	0	0
64	11.6867	0.00172488	0.5	2.9125	0.0784988	0.590808	0.0407569	0.4	0.0114215	0.839982	10.5398	2.20611	10.9041	1.34617	0	0.000226764	0.232062	0.136474	0.00900577	1.449	0.00367002	0.0692093	0.00151775	0.0173544	0	0
65	11.6867	0.00172488	0.5	2.9125	0.0784989	0.590808	0.0407569	0.4	0.0114215	0.839982	10.5398	2.2061	10.9041	1.34617	0	0.000226764	0.232061	0.136474	0.00900578	1.449	0.00367002	0.0692093	0.00151775	0.0173544	0	0
66	11.6867	0.00172488	0.5	2.9125	0.078499	0.590808	0.0407569	0.4	0.0114215	0.839982	10.5398	2.20609	10.9042	1.34617	0	0.000226764	0.232061	0.136474	0.00900578	1.449	0.00367002	0.0692093	0.00151775	0.0173544	0	0
67	11.6867	0.00172489	0.5	2.9125	0.0784991	0.590808	0.0407569	0.4	0.0114215	0.839982	10.5398	2.20609	10.9042	1.34617	0	0.000226765	0.23206	0.136474	0.00900579	1.449	0.00367002	0.0692093	0.00151775	0.0173545	0	0
68	11.6867	0.00172489	0.5	2.91249	0.0784992	0.590808	0.0407569	0.4	0.0114215	0.839982	10.5398	2.20609	10.9042	1.34617	0	0.000226765	0.23206	0.136474	0.0090058	1.449	0.00367002	0.0692093	0.00151775	0.0173545	0	0
69	11.6867	0.00172489	0.5	2.91249	0.0784993	0.590808	0.0407569	0.4	0.0114216	0.839982	10.5398	2.20608	10.9042	1.34617	0	0.000226765	0.232059	0.136474	0.0090058	1.449	0.00367002	0.0692093	0.00151775	0.0173545	0	0
70	11.6867	0.00172489	0.5	2.91249	0.0784994	0.590808	0.0407569	0.4	0.0114216	0.839982	10.5398	2.20608	10.9042	1.34617	0	0.000226765	0.232059	0.136474	0.00900581	1.449	0.00367002	0.0692093	0.00151776	0.0173546	0	0
71	11.6867	0.00172489	0.5	2.91249	0.0784994	0.590808	0.0407569	0.4	0.0114216	0.839982	10.5398	2.20608	10.9042	1.34617	0	0.000226765	0.232059	0.136474	0.00900581	1.449	0.00367002	0.0692093	0.00151776	0.0173546	0	0
72	11.6867	0.00172489	0.5	2.91249	0.0784995	0.590808	0.0407569	0.4	0.0114216	0.839982	10.5398	2.20607	10.9042	1.34617	0	0.000226765	0.232058	0.136474	0.00900582	1.44901	0.00367002	0.0692093	0.00151776	0.0173546	0	0
73	11.6867	0.00172489	0.5	2.91249	0.0784995	0.590808	0.0407569	0.4	0.0114216	0.839982	10.5398	2.20607	10.9042	1.34617	0	0.000226765	0.232058	0.136474	0.00900582	1.44901	0.00367002	0.0692093	0.00151776	0.0173546	0	0
74	11.6867	0.00172489	0.5	2.91249	0.0784996	0.590808	0.0407569	0.4	0.0114216	0.839982	10.5397	2.20607	10.9042	1.34617	0	0.000226765	0.232058	0.136474	0.00900582	1.44901	0.00367002	0.0692093	0.00151776	0.0173546	0	0
75	11.6867	0.00172489	0.5	2.91249	0.0784996	0.590808	0.0407569	0.4	0.0114216	0.839982	10.5397	2.20607	10.9042	1.34617	0	0.000226766	0.232058	0.136474	0.00900583	1.44901	0.00367002	0.0692093	0.00151776	0.0173547	0	0
76	11.6866	0.0017249	0.5	2.91249	0.0784996	0.590808	0.0407569	0.4	0.0114216	0.839982	10.5397	2.20607	10.9042	1.34617	0	0.000226766	0.232058	0.136474	0.00900583	1.44901	0.00367002	0.0692093	0.00151776	0.0173547	0	0
77	11.6866	0.0017249	0.5	2.91249	0.0784997	0.590808	0.0407569	0.4	0.0114216	0.839982	10.5397	2.20606	10.9042	1.34617	0	0.000226766	0.232057	0.136474	0.00900583	1.44901	0.00367002	0.0692093	0.00151776	0.0173547	0	0
78	11.6866	0.0017249	0.5	2.91249	0.0784997	0.590808	0.0407569	0.4	0.0114216	0.839982	10.5397	2.20606	10.9042	1.34617	0	0.000226766	0.232057	0.136474	0.00900584	1.44901	0.00367002	0.0692093	0.00151776	0.0173547	0	0
79	11.6866	0.0017249	0.5	2.91249	0.0784997	0.590808	0.0407569	0.4	0.0114216	0.839982	10.5397	2.20606	10.9042	1.34617	0	0.000226766	0.232057	0.136474	0.00900584	1.44901	0.00367002	0.0692093	0.00151776	0.0173547	0	0
80	11.6866	0.0017249	0.5	2.91249	0.0784998	0.590808	0.0407569	0.4	0.0114216	0.839982	10.5397	2.20606	10.9042	1.34617	0	0.000226766	0.232057	0.136474	0.00900584	1.44901	0.00367002	0.0692093	0.00151776	0.0173547	0	0
81	11.6866	0.0017249	0.5	2.91249	0.0784998	0.590808	0.0407568	0.4	0.0114216	0.839982	10.5397	2.20606	10.9042	1.34617	0	0.000226766	0.232057	0.136474	0.00900584	1.44901	0.00367002	0.0692093	0.00151776	0.0173547	0	0
82	11.6866	0.0017249	0.5	2.91249	0.0784998	0.590808	0.0407568	0.4	0.0114216	0.839982	10.5397	2.20606	10.9042	1.34617	0	0.000226766	0.232057	0.136474	0.00900584	1.44901	0.00367002	0.0692093	0.00151776	0.0173547	0	0
83	11.6866	0.0017249	0.5	2.91249	0.0784998	0.590808	0.0407568	0.4	0.0114216	0.839982	10.5397	2.20606	10.9042	1.34617	0	0.000226766	0.232057	0.136474	0.00900584	1.44901	0.00367002	0.0692093	0.00151776	0.0173547	0	0
84	11.6866	0.0017249	0.5	2.91249	0.0784998	0.590808	0.0407568	0.4	0.0114216	0.839982	10.5397	2.20606	10.9042	1.34617	0	0.000226766	0.232057	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151776	0.0173547	0	0
85	11.6866	0.0017249	0.5	2.91249	0.0784998	0.590808	0.0407568	0.4	0.0114216	0.839982	10.5397	2.20606	10.9042	1.34617	0	0.000226766	0.232057	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151776	0.0173547	0	0
86	11.6866	0.0017249	0.5	2.91249	0.0784999	0.590808	0.0407568	0.4	0.0114216	0.839982	10.5397	2.20606	10.9043	1.34617	0	0.000226766	0.232056	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151776	0.0173547	0	0
87	11.6866	0.0017249	0.5	2.91249	0.0784999	0.590808	0.0407568	0.4	0.0114216	0.839982	10.5397	2.20606	10.9043	1.34617	0	0.000226766	0.232056	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151776	0.0173548	0	0
88	11.6866	0.0017249	0.5	2.91249	0.0784999	0.590808	0.0407568	0.4	0.0114216	0.839982	10.5397	2.20605	10.9043	1.34617	0	0.000226766	0.232056	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151776	0.0173548	0	0
89	11.6866	0.0017249	0.5	2.91249	0.0784999	0.590808	0.0407568	0.4	0.0114216	0.839982	10.5397	2.20605	10.9043	1.34617	0	0.000226766	0.232056	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151776	0.0173548	0	0
90	11.6866	0.0017249	0.5	2.91249	0.0784999	0.590808	0.0407568	0.4	0.0114216	0.839982	10.5397	2.20605	10.9043	1.34617	0	0.000226766	0.232056	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151776	0.0173548	0	0
91	11.6866	0.0017249	0.5	2.91249	0.0784999	0.590809	0.0407568	0.4	0.0114217	0.839982	10.5397	2.20605	10.9043	1.34617	0	0.000226766	0.232056	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151776	0.0173548	0	0
92	11.6866	0.0017249	0.5	2.91249	0.0784999	0.590809	0.0407568	0.4	0.0114217	0.839982	10.5397	2.20605	10.9043	1.34617	0	0.000226766	0.232056	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151776	0.0173548	0	0
93	11.6866	0.0017249	0.5	2.91249	0.0784999	0.590809	0.0407568	0.4	0.0114217	0.839982	10.5397	2.20605	10.9043	1.34617	0	0.000226766	0.232056	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151776	0.0173548	0	0
94	11.6866	0.0017249	0.5	2.91249	0.0784999	0.590809	0.0407568	0.4	0.0114217	0.839982	10.5397	2.20605	10.9043	1.34617	0	0.000226766	0.232056	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151776	0.0173548	0	0
95	11.6866	0.0017249	0.5	2.91249	0.0784999	0.590809	0.0407568	0.4	0.0114217	0.839982	10.5397	2.20605	10.9043	1.34617	0	0.000226766	0.232056	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151776	0.0173548	0	0
96	11.6866	0.0017249	0.5	2.91249	0.0784999	0.590809	0.0407568	0.4	0.0114217	0.839982	10.5397	2.20605	10.9043	1.34617	0	0.000226766	0.232056	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151777	0.0173548	0	0
97	11.6866	0.0017249	0.5	2.91249	0.0784999	0.590809	0.0407568	0.4	0.0114217	0.839982	10.5397	2.20605	10.9043	1.34617	0	0.000226766	0.232056	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151777	0.0173548	0	0
98	11.6866	0.0017249	0.5	2.91249	0.0784999	0.590809	0.0407568	0.4	0.0114217	0.839982	10.5397	2.20605	10.9043	1.34617	0	0.000226766	0.232056	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151777	0.0173548	0	0
99	11.6866	0.0017249	0.5	2.91249	0.0784999	0.590809	0.0407568	0.4	0.0114217	0.839982	10.5397	2.20605	10.9043	1.34617	0	0.000226766	0.232056	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151777	0.0173548	0	0
100	11.6866	0.0017249	0.5	2.91249	0.0784999	0.590809	0.0407568	0.4	0.0114217	0.839982	10.5397	2.20605	10.9043	1.34617	0	0.000226766	0.232056	0.136474	0.00900585	1.44901	0.00367002	0.0692093	0.00151777	0.0173548	0	0
