Time	[mRNA]	[Betagalactosidase]	[allolactose]	[lactose_internal]	[permease]	[PartialmRNA]	[PartialBetagalactosidase]	[PartialPermease]	[External_Lactose]
28	0.000824845	0.000112259	0.438693	0.527731	0.00890333	3.98636e-05	2.34149e-05	0.0186482	0.08
29	0.00086563	0.00012157	0.453195	0.526673	0.0095041	4.14424e-05	2.47785e-05	0.0197871	0.08
30	0.000904378	0.000131329	0.466911	0.525425	0.0101003	4.29061e-05	2.61013e-05	0.020901	0.08
31	0.000940861	0.000141504	0.479781	0.523996	0.0106863	4.42524e-05	2.73723e-05	0.0219801	0.08
32	0.000974922	0.000152057	0.491764	0.522396	0.011257	4.54818e-05	2.85824e-05	0.0230162	0.08
33	0.00100648	0.000162946	0.502839	0.520634	0.0118078	4.6597e-05	2.97248e-05	0.0240026	0.08
34	0.0010355	0.000174131	0.513005	0.518722	0.0123349	4.76024e-05	3.07946e-05	0.0249341	0.08
35	0.00106201	0.000185566	0.522273	0.516671	0.0128353	4.85039e-05	3.17888e-05	0.0258072	0.08
36	0.00108608	0.000197208	0.530667	0.514494	0.0133066	4.93077e-05	3.27062e-05	0.0266196	0.08
37	0.0011078	0.000209015	0.53822	0.512203	0.0137473	5.00209e-05	3.35472e-05	0.0273705	0.08
38	0.0011273	0.000220946	0.544973	0.509809	0.0141566	5.06503e-05	3.43134e-05	0.0280601	0.08
39	0.00114471	0.000232961	0.55097	0.507325	0.0145343	5.12029e-05	3.50072e-05	0.0286897	0.08
40	0.00116017	0.000245023	0.556259	0.504764	0.0148807	5.16852e-05	3.56321e-05	0.0292612	0.08
41	0.00117382	0.000257099	0.560887	0.502135	0.0151965	5.21036e-05	3.61918e-05	0.0297771	0.08
42	0.0011858	0.000269156	0.564905	0.499451	0.0154827	5.2464e-05	3.66902e-05	0.0302402	0.08
43	0.00119626	0.000281166	0.56836	0.496721	0.0157408	5.27719e-05	3.71318e-05	0.0306537	0.08
44	0.00120533	0.000293102	0.571297	0.493957	0.0159722	5.30324e-05	3.75206e-05	0.0310209	0.08
45	0.00121314	0.000304942	0.573763	0.491166	0.0161785	5.32501e-05	3.78611e-05	0.031345	0.08
46	0.00121979	0.000316665	0.575797	0.488358	0.0163614	5.34294e-05	3.81571e-05	0.0316295	0.08
47	0.00122541	0.000328253	0.577441	0.485541	0.0165227	5.35739e-05	3.84126e-05	0.0318775	0.08
48	0.00123008	0.000339689	0.57873	0.482723	0.0166639	5.36874e-05	3.86312e-05	0.032092	0.08
49	0.00123391	0.00035096	0.5797	0.479909	0.0167867	5.3773e-05	3.88163e-05	0.032276	0.08
50	0.00123697	0.000362054	0.580381	0.477107	0.0168927	5.38336e-05	3.89712e-05	0.0324322	0.08
51	0.00123935	0.00037296	0.580804	0.47432	0.0169834	5.38717e-05	3.90987e-05	0.0325632	0.08
52	0.00124111	0.00038367	0.580994	0.471556	0.01706	5.38898e-05	3.92014e-05	0.0326714	0.08
53	0.00124232	0.000394178	0.580977	0.468817	0.017124	5.389e-05	3.9282e-05	0.032759	0.08
54	0.00124304	0.000404477	0.580775	0.466108	0.0171764	5.38743e-05	3.93426e-05	0.0328279	0.08
55	0.00124331	0.000414563	0.580408	0.463432	0.0172185	5.38444e-05	3.93852e-05	0.0328801	0.08
56	0.00124319	0.000424432	0.579896	0.460793	0.0172513	5.38018e-05	3.94117e-05	0.0329173	0.08
57	0.00124272	0.000434082	0.579255	0.458191	0.0172756	5.37481e-05	3.94239e-05	0.0329409	0.08
58	0.00124193	0.000443512	0.5785	0.455631	0.0172923	5.36844e-05	3.94232e-05	0.0329524	0.08
59	0.00124087	0.00045272	0.577646	0.453113	0.0173022	5.3612e-05	3.94111e-05	0.0329531	0.08
60	0.00123955	0.000461706	0.576706	0.450639	0.017306	5.3532e-05	3.93887e-05	0.0329441	0.08
61	0.00123802	0.00047047	0.57569	0.448211	0.0173044	5.34453e-05	3.93572e-05	0.0329265	0.08
62	0.0012363	0.000479014	0.57461	0.445829	0.0172979	5.33527e-05	3.93177e-05	0.0329013	0.08
63	0.00123441	0.000487339	0.573475	0.443494	0.0172872	5.3255e-05	3.92711e-05	0.0328692	0.08
64	0.00123238	0.000495446	0.572293	0.441207	0.0172725	5.31531e-05	3.92182e-05	0.0328311	0.08
65	0.00123021	0.000503338	0.571072	0.438968	0.0172545	5.30474e-05	3.91599e-05	0.0327877	0.08
66	0.00122794	0.000511017	0.569819	0.436777	0.0172335	5.29386e-05	3.90967e-05	0.0327397	0.08
67	0.00122557	0.000518486	0.568541	0.434635	0.0172098	5.28273e-05	3.90293e-05	0.0326876	0.08
68	0.00122312	0.000525748	0.567242	0.432541	0.0171838	5.27139e-05	3.89584e-05	0.0326319	0.08
69	0.00122061	0.000532806	0.565928	0.430495	0.0171557	5.25988e-05	3.88843e-05	0.0325732	0.08
70	0.00121804	0.000539663	0.564604	0.428497	0.0171259	5.24825e-05	3.88076e-05	0.0325119	0.08
71	0.00121543	0.000546323	0.563273	0.426547	0.0170946	5.23653e-05	3.87287e-05	0.0324483	0.08
72	0.00121278	0.000552789	0.56194	0.424644	0.017062	5.22475e-05	3.8648e-05	0.0323829	0.08
73	0.00121011	0.000559065	0.560607	0.422788	0.0170283	5.21294e-05	3.85657e-05	0.0323159	0.08
74	0.00120742	0.000565155	0.559278	0.420978	0.0169937	5.20113e-05	3.84824e-05	0.0322476	0.08
75	0.00120471	0.000571062	0.557956	0.419214	0.0169583	5.18935e-05	3.83981e-05	0.0321783	0.08
76	0.00120201	0.000576791	0.556641	0.417494	0.0169223	5.17761e-05	3.83133e-05	0.0321083	0.08
77	0.00119931	0.000582345	0.555338	0.41582	0.0168858	5.16593e-05	3.8228e-05	0.0320378	0.08
78	0.00119661	0.000587728	0.554047	0.414189	0.016849	5.15433e-05	3.81426e-05	0.0319669	0.08
79	0.00119392	0.000592945	0.55277	0.412601	0.016812	5.14284e-05	3.80572e-05	0.0318958	0.08
80	0.00119126	0.000597998	0.551509	0.411055	0.0167748	5.13145e-05	3.7972e-05	0.0318248	0.08
81	0.00118861	0.000602892	0.550265	0.409552	0.0167376	5.12019e-05	3.78871e-05	0.0317539	0.08
82	0.00118598	0.000607631	0.549039	0.408089	0.0167004	5.10907e-05	3.78027e-05	0.0316833	0.08
83	0.00118339	0.000612219	0.547832	0.406666	0.0166633	5.09809e-05	3.7719e-05	0.0316131	0.08
84	0.00118082	0.000616659	0.546645	0.405282	0.0166263	5.08726e-05	3.7636e-05	0.0315433	0.08
85	0.00117828	0.000620956	0.545478	0.403937	0.0165896	5.0766e-05	3.75538e-05	0.0314742	0.08
86	0.00117578	0.000625112	0.544332	0.40263	0.0165532	5.0661e-05	3.74725e-05	0.0314058	0.08
87	0.00117332	0.000629133	0.543208	0.401359	0.0165171	5.05579e-05	3.73922e-05	0.0313381	0.08
88	0.00117089	0.000633021	0.542106	0.400125	0.0164814	5.04565e-05	3.73129e-05	0.0312712	0.08
89	0.0011685	0.00063678	0.541026	0.398927	0.0164461	5.03569e-05	3.72348e-05	0.0312052	0.08
90	0.00116615	0.000640413	0.539969	0.397763	0.0164113	5.02592e-05	3.71579e-05	0.0311402	0.08
91	0.00116385	0.000643925	0.538934	0.396633	0.0163769	5.01635e-05	3.70822e-05	0.0310761	0.08
92	0.00116158	0.000647319	0.537923	0.395536	0.016343	5.00696e-05	3.70078e-05	0.0310131	0.08
93	0.00115936	0.000650597	0.536934	0.394472	0.0163097	4.99778e-05	3.69347e-05	0.0309511	0.08
94	0.00115719	0.000653763	0.535969	0.393439	0.0162769	4.98878e-05	3.6863e-05	0.0308902	0.08
95	0.00115506	0.000656822	0.535026	0.392437	0.0162446	4.97999e-05	3.67926e-05	0.0308305	0.08
96	0.00115297	0.000659774	0.534105	0.391465	0.0162129	4.97139e-05	3.67236e-05	0.0307718	0.08
97	0.00115093	0.000662625	0.533208	0.390523	0.0161819	4.96299e-05	3.6656e-05	0.0307143	0.08
98	0.00114893	0.000665377	0.532333	0.38961	0.0161514	4.95478e-05	3.65898e-05	0.030658	0.08
99	0.00114698	0.000668033	0.53148	0.388724	0.0161215	4.94677e-05	3.6525e-05	0.0306029	0.08
100	0.00114507	0.000670595	0.53065	0.387866	0.0160922	4.93896e-05	3.64617e-05	0.0305489	0.08
