Time	[Per2 or Cry mRNA]	[PER2_CRY_complex_cytoplasm]	[PER2_CRY_complex_nucleus]	[Bmal1 mRNA]	[BMAL1_cytoplasm]	[BMAL1_nucleus]	[Active BMAL1]
46	0.370771	0.554117	1.75664	1.9196	1.19166	1.81396	1.37155
47	0.330527	0.475873	1.64206	1.7294	1.14363	1.84908	1.4074
48	0.296187	0.408912	1.52624	1.52648	1.07844	1.85337	1.44173
49	0.268389	0.352008	1.41173	1.32042	1.00013	1.82819	1.47208
50	0.249058	0.30415	1.30049	1.11999	0.912925	1.77618	1.49638
51	0.242717	0.264736	1.19404	0.932466	0.821046	1.70104	1.51301
52	0.259131	0.234025	1.09364	0.763221	0.728389	1.6072	1.52086
53	0.318236	0.214517	1.00068	0.615609	0.638314	1.49946	1.5193
54	0.457053	0.215588	0.917561	0.491361	0.553524	1.38269	1.50819
55	0.727929	0.267648	0.850464	0.391694	0.476113	1.26152	1.48782
56	1.1392	0.446333	0.816432	0.319841	0.407925	1.14027	1.4588
57	1.50703	0.825271	0.84964	0.286131	0.351494	1.02304	1.42209
58	1.59074	1.27986	0.976587	0.313842	0.31175	0.914412	1.3789
59	1.48007	1.59465	1.1753	0.434091	0.297335	0.820571	1.3308
60	1.32825	1.72721	1.3971	0.659543	0.318267	0.750116	1.27986
61	1.18224	1.72639	1.60327	0.962139	0.379327	0.71272	1.22877
62	1.05008	1.64349	1.77209	1.28627	0.475249	0.715643	1.18072
63	0.93208	1.51575	1.89458	1.57974	0.592544	0.76051	1.13904
64	0.827152	1.36792	1.9698	1.8108	0.715194	0.842533	1.10658
65	0.733988	1.21568	2.00134	1.96759	0.829376	0.95209	1.08535
66	0.651336	1.06846	1.99512	2.05085	0.925442	1.07723	1.07618
67	0.578064	0.931544	1.95785	2.06736	0.997862	1.20588	1.07882
68	0.513168	0.807486	1.89623	2.02617	1.04432	1.32736	1.09203
69	0.455789	0.697127	1.81645	1.93687	1.06476	1.43307	1.11388
70	0.405225	0.600269	1.72392	1.80921	1.06061	1.51677	1.14195
71	0.360981	0.51613	1.62327	1.65305	1.03433	1.57445	1.1736
72	0.322867	0.443654	1.51828	1.47831	0.989153	1.60419	1.20619
73	0.291222	0.381721	1.41201	1.2947	0.9288	1.60591	1.23721
74	0.26738	0.329318	1.30686	1.11123	0.857317	1.58106	1.26445
75	0.25464	0.285718	1.20472	0.935647	0.778807	1.53239	1.28607
76	0.260227	0.250823	1.10716	0.773963	0.697174	1.46356	1.30068
77	0.299032	0.226056	1.01563	0.630302	0.615886	1.37881	1.30736
78	0.399515	0.217206	0.932158	0.507083	0.53783	1.28265	1.30562
79	0.607037	0.243365	0.861033	0.405751	0.465287	1.17951	1.29544
80	0.956119	0.357213	0.813678	0.328484	0.400141	1.07359	1.27715
81	1.35545	0.642081	0.816312	0.28181	0.344486	0.968862	1.2514
82	1.5519	1.06914	0.901476	0.282104	0.301918	0.869421	1.21914
83	1.49921	1.43313	1.06774	0.356521	0.279081	0.78042	1.18161
84	1.35926	1.62432	1.27433	0.52671	0.285207	0.709028	1.14048
85	1.21309	1.6679	1.47888	0.783286	0.327431	0.664143	1.09795
86	1.07841	1.61499	1.65452	1.08333	0.405029	0.653892	1.05681
87	0.95757	1.50648	1.78836	1.37468	0.508397	0.682304	1.02011
88	0.849934	1.3704	1.87684	1.61855	0.623142	0.74751	0.99076
89	0.754297	1.22486	1.92193	1.79557	0.735098	0.842321	0.970977
90	0.66942	1.08105	1.92858	1.90129	0.833311	0.956274	0.962015
91	0.594158	0.945426	1.903	1.93972	0.910795	1.07788	0.964058
92	0.52749	0.821368	1.85167	1.91873	0.964028	1.19636	0.976306
93	0.468533	0.710262	1.78074	1.84762	0.992077	1.30265	0.997175
94	0.416563	0.612266	1.6957	1.73618	0.995816	1.38986	1.02453
95	0.371058	0.526827	1.60128	1.59436	0.977364	1.45333	1.05595
96	0.331791	0.453028	1.5014	1.43218	0.93971	1.49052	1.08889
97	0.299042	0.38983	1.39929	1.25938	0.886439	1.5008	1.12093
98	0.27403	0.336256	1.29748	1.08499	0.821485	1.48518	1.14986
99	0.259819	0.291582	1.198	0.916787	0.74887	1.44601	1.17383
100	0.26314	0.255662	1.10251	0.760906	0.672447	1.38661	1.1914
