Time	[OCT4_Gene]	[NANOG_Gene]	[SOX2_Gene]	[GATA6_Gene]	[CDX2_Gene]	[GCNF_Gene]	[targetGene]	[degradation]	[p53]	[A]	[OCT4]	[SOX2]	[NANOG]	[GATA6]	[CDX2]	[GCNF]	[OCT4_SOX2]	[Protein]
36	0	0	0	0	0	0	0.01	0	0	10	0.0453485	0.0102831	0.0689101	0.197313	7.95099	3.99583	0.1	0
37	0	0	0	0	0	0	0.01	0	0	10	0.0445241	0.0102784	0.0702955	0.202732	8.00431	4.04424	0.1	0
38	0	0	0	0	0	0	0.01	0	0	10	0.0437511	0.0102738	0.0716687	0.208162	8.05421	4.08967	0.1	0
39	0	0	0	0	0	0	0.01	0	0	10	0.0430267	0.0102693	0.07303	0.213604	8.10092	4.13231	0.1	0
40	0	0	0	0	0	0	0.01	0	0	10	0.0423482	0.0102648	0.0743793	0.219058	8.14464	4.17232	0.1	0
41	0	0	0	0	0	0	0.01	0	0	10	0.0417129	0.0102605	0.0757169	0.224524	8.18557	4.20988	0.1	0
42	0	0	0	0	0	0	0.01	0	0	10	0.0411183	0.0102562	0.0770428	0.230002	8.22389	4.24512	0.1	0
43	0	0	0	0	0	0	0.01	0	0	10	0.0405619	0.0102521	0.078357	0.235492	8.25977	4.2782	0.1	0
44	0	0	0	0	0	0	0.01	0	0	10	0.0400415	0.0102481	0.0796598	0.240993	8.29335	4.30925	0.1	0
45	0	0	0	0	0	0	0.01	0	0	10	0.0395549	0.0102442	0.0809512	0.246507	8.3248	4.33839	0.1	0
46	0	0	0	0	0	0	0.01	0	0	10	0.0390999	0.0102405	0.0822313	0.252032	8.35424	4.36576	0.1	0
47	0	0	0	0	0	0	0.01	0	0	10	0.0386745	0.0102369	0.0835002	0.257569	8.38181	4.39145	0.1	0
48	0	0	0	0	0	0	0.01	0	0	10	0.0382769	0.0102334	0.084758	0.263119	8.40762	4.41558	0.1	0
49	0	0	0	0	0	0	0.01	0	0	10	0.0379053	0.0102301	0.0860048	0.26868	8.43178	4.43824	0.1	0
50	0	0	0	0	0	0	0.01	0	0	10	0.037558	0.0102269	0.0872407	0.274253	8.45441	4.45954	0.1	0
51	0	0	0	0	0	0	0.01	0	0	10	0.0372334	0.0102238	0.0884658	0.279838	8.47559	4.47955	0.1	0
52	0	0	0	0	0	0	0.01	0	0	10	0.0369301	0.0102209	0.0896802	0.285435	8.49542	4.49836	0.1	0
53	0	0	0	0	0	0	0.01	0	0	10	0.0366467	0.0102181	0.0908839	0.291045	8.51398	4.51605	0.1	0
54	0	0	0	0	0	0	0.01	0	0	10	0.0363818	0.0102155	0.0920771	0.296666	8.53136	4.53269	0.1	0
55	0	0	0	0	0	0	0.01	0	0	10	0.0361342	0.0102129	0.0932599	0.302299	8.54763	4.54835	0.1	0
56	0	0	0	0	0	0	0.01	0	0	10	0.0359028	0.0102105	0.0944324	0.307944	8.56286	4.56309	0.1	0
57	0	0	0	0	0	0	0.01	0	0	10	0.0356865	0.0102082	0.0955945	0.313602	8.57712	4.57697	0.1	0
58	0	0	0	0	0	0	0.01	0	0	10	0.0354842	0.0102061	0.0967465	0.319271	8.59046	4.59005	0.1	0
59	0	0	0	0	0	0	0.01	0	0	10	0.0352951	0.010204	0.0978885	0.324953	8.60295	4.60238	0.1	0
60	0	0	0	0	0	0	0.01	0	0	10	0.0351183	0.010202	0.0990204	0.330647	8.61465	4.61401	0.1	0
61	0	0	0	0	0	0	0.01	0	0	10	0.0349529	0.0102002	0.100142	0.336353	8.62559	4.62498	0.1	0
62	0	0	0	0	0	0	0.01	0	0	10	0.0347982	0.0101984	0.101255	0.342071	8.63584	4.63534	0.1	0
63	0	0	0	0	0	0	0.01	0	0	10	0.0346533	0.0101968	0.102357	0.347801	8.64543	4.64512	0.1	0
64	0	0	0	0	0	0	0.01	0	0	10	0.0345178	0.0101952	0.10345	0.353543	8.6544	4.65437	0.1	0
65	0	0	0	0	0	0	0.01	0	0	10	0.0343909	0.0101937	0.104533	0.359297	8.66281	4.66312	0.1	0
66	0	0	0	0	0	0	0.01	0	0	10	0.0342721	0.0101923	0.105607	0.365064	8.67067	4.6714	0.1	0
67	0	0	0	0	0	0	0.01	0	0	10	0.0341607	0.010191	0.106671	0.370843	8.67804	4.67924	0.1	0
68	0	0	0	0	0	0	0.01	0	0	10	0.0340564	0.0101898	0.107727	0.376634	8.68493	4.68668	0.1	0
69	0	0	0	0	0	0	0.01	0	0	10	0.0339586	0.0101886	0.108772	0.382437	8.69138	4.69373	0.1	0
70	0	0	0	0	0	0	0.01	0	0	10	0.0338668	0.0101875	0.109809	0.388253	8.69742	4.70043	0.1	0
71	0	0	0	0	0	0	0.01	0	0	10	0.0337808	0.0101864	0.110837	0.394081	8.70308	4.7068	0.1	0
72	0	0	0	0	0	0	0.01	0	0	10	0.0337	0.0101855	0.111855	0.399921	8.70838	4.71285	0.1	0
73	0	0	0	0	0	0	0.01	0	0	10	0.0336241	0.0101845	0.112865	0.405774	8.71334	4.71861	0.1	0
74	0	0	0	0	0	0	0.01	0	0	10	0.0335528	0.0101837	0.113866	0.411638	8.71799	4.72411	0.1	0
75	0	0	0	0	0	0	0.01	0	0	10	0.0334858	0.0101828	0.114858	0.417515	8.72234	4.72935	0.1	0
76	0	0	0	0	0	0	0.01	0	0	10	0.0334228	0.0101821	0.115841	0.423405	8.72641	4.73435	0.1	0
77	0	0	0	0	0	0	0.01	0	0	10	0.0333634	0.0101813	0.116816	0.429307	8.73023	4.73913	0.1	0
78	0	0	0	0	0	0	0.01	0	0	10	0.0333076	0.0101806	0.117782	0.435221	8.73381	4.7437	0.1	0
79	0	0	0	0	0	0	0.01	0	0	10	0.0332549	0.01018	0.11874	0.441147	8.73717	4.74809	0.1	0
80	0	0	0	0	0	0	0.01	0	0	10	0.0332053	0.0101794	0.11969	0.447086	8.74031	4.75229	0.1	0
81	0	0	0	0	0	0	0.01	0	0	10	0.0331585	0.0101788	0.120631	0.453037	8.74326	4.75632	0.1	0
82	0	0	0	0	0	0	0.01	0	0	10	0.0331142	0.0101783	0.121564	0.459001	8.74602	4.7602	0.1	0
83	0	0	0	0	0	0	0.01	0	0	10	0.0330724	0.0101778	0.122488	0.464977	8.74861	4.76393	0.1	0
84	0	0	0	0	0	0	0.01	0	0	10	0.0330329	0.0101773	0.123405	0.470966	8.75105	4.76753	0.1	0
85	0	0	0	0	0	0	0.01	0	0	10	0.0329955	0.0101769	0.124313	0.476967	8.75333	4.771	0.1	0
86	0	0	0	0	0	0	0.01	0	0	10	0.03296	0.0101765	0.125214	0.48298	8.75547	4.77435	0.1	0
87	0	0	0	0	0	0	0.01	0	0	10	0.0329264	0.0101761	0.126107	0.489006	8.75748	4.77759	0.1	0
88	0	0	0	0	0	0	0.01	0	0	10	0.0328945	0.0101757	0.126992	0.495045	8.75937	4.78072	0.1	0
89	0	0	0	0	0	0	0.01	0	0	10	0.0328642	0.0101754	0.127869	0.501096	8.76115	4.78376	0.1	0
90	0	0	0	0	0	0	0.01	0	0	10	0.0328353	0.010175	0.128738	0.50716	8.76281	4.78671	0.1	0
91	0	0	0	0	0	0	0.01	0	0	10	0.0328079	0.0101747	0.1296	0.513236	8.76438	4.78957	0.1	0
92	0	0	0	0	0	0	0.01	0	0	10	0.0327817	0.0101745	0.130454	0.519324	8.76586	4.79236	0.1	0
93	0	0	0	0	0	0	0.01	0	0	10	0.0327568	0.0101742	0.131301	0.525426	8.76725	4.79507	0.1	0
94	0	0	0	0	0	0	0.01	0	0	10	0.0327329	0.0101739	0.13214	0.531539	8.76856	4.79772	0.1	0
95	0	0	0	0	0	0	0.01	0	0	10	0.0327101	0.0101737	0.132972	0.537666	8.76979	4.8003	0.1	0
96	0	0	0	0	0	0	0.01	0	0	10	0.0326883	0.0101735	0.133797	0.543805	8.77095	4.80283	0.1	0
97	0	0	0	0	0	0	0.01	0	0	10	0.0326674	0.0101733	0.134614	0.549957	8.77205	4.8053	0.1	0
98	0	0	0	0	0	0	0.01	0	0	10	0.0326473	0.0101731	0.135425	0.556121	8.77308	4.80772	0.1	0
99	0	0	0	0	0	0	0.01	0	0	10	0.032628	0.0101729	0.136228	0.562298	8.77406	4.81009	0.1	0
100	0	0	0	0	0	0	0.01	0	0	10	0.0326095	0.0101727	0.137024	0.568488	8.77498	4.81241	0.1	0
