Time	[cyclin]	[protease]	[cdc2k]	[cyclin inhibitor]	[complex inhibitor-cyclin]
63	0.0421658	0.371301	0.304623	3.87227	0.419521
64	0.0370828	0.350429	0.201567	3.89207	0.403556
65	0.0413511	0.310553	0.124794	3.91006	0.388522
66	0.0526199	0.260672	0.0884786	3.92494	0.375841
67	0.0712426	0.210909	0.0877203	3.93564	0.366746
68	0.0970212	0.169096	0.111201	3.94117	0.362453
69	0.127622	0.140283	0.15262	3.94087	0.363869
70	0.158691	0.127086	0.208307	3.93482	0.371171
71	0.185121	0.129798	0.273772	3.92404	0.383574
72	0.202367	0.147044	0.342932	3.91039	0.399399
73	0.20717	0.176578	0.408529	3.89625	0.416334
74	0.19786	0.215443	0.46268	3.8842	0.431771
75	0.174674	0.259664	0.497257	3.87662	0.443158
76	0.140286	0.303956	0.504079	3.8754	0.448376
77	0.100557	0.341716	0.475414	3.88144	0.446211
78	0.0650154	0.365503	0.407311	3.89413	0.436941
79	0.0437349	0.368773	0.308949	3.91105	0.422751
80	0.0379266	0.349165	0.206844	3.92883	0.406903
81	0.0417855	0.310487	0.12927	3.94501	0.391868
82	0.0527642	0.26143	0.0912496	3.95822	0.379134
83	0.071091	0.212048	0.0890372	3.96737	0.369953
84	0.0965566	0.170279	0.111558	3.97145	0.365549
85	0.126877	0.141283	0.152252	3.96978	0.366836
86	0.157761	0.127755	0.207311	3.96243	0.374007
87	0.184145	0.130059	0.272237	3.95041	0.386293
88	0.201499	0.146869	0.34099	3.93554	0.402032
89	0.206559	0.175967	0.406366	3.92021	0.418923
90	0.197635	0.214424	0.460535	3.90696	0.434368
91	0.174922	0.258308	0.495421	3.89821	0.445814
92	0.141018	0.302394	0.502907	3.89582	0.45114
93	0.101646	0.340149	0.475324	3.9007	0.449115
94	0.0661348	0.364199	0.408636	3.91232	0.439974
95	0.0444945	0.368001	0.311485	3.92828	0.425845
96	0.0383005	0.349064	0.209732	3.94523	0.409963
97	0.0419289	0.310989	0.131613	3.96069	0.394838
98	0.0527298	0.262312	0.0926	3.97324	0.381984
99	0.0708715	0.213053	0.0895461	3.98178	0.372664
100	0.0961521	0.171213	0.111496	3.98529	0.368106
