Time	[OCT4_Gene]	[NANOG_Gene]	[SOX2_Gene]	[targetGene]	[degradation]	[p53]	[A]	[OCT4]	[SOX2]	[NANOG]	[OCT4_SOX2]	[Protein]
55	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.19565
56	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.22625
57	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.25655
58	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.28655
59	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.31625
60	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.34565
61	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.37476
62	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.40358
63	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.43212
64	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.46037
65	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.48834
66	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.51603
67	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.54345
68	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.57059
69	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.59746
70	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.62407
71	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.65041
72	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.67649
73	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.70231
74	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.72787
75	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.75318
76	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.77823
77	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.80304
78	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.8276
79	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.85191
80	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.87599
81	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.89982
82	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.92342
83	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.94678
84	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.96991
85	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.99281
86	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	3.01548
87	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	3.03793
88	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	3.06015
89	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	3.08215
90	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	3.10393
91	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	3.1255
92	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	3.14685
93	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	3.16799
94	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	3.18892
95	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	3.20964
96	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	3.23015
97	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	3.25046
98	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	3.27057
99	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	3.29048
100	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	3.31019
