Time	[OCT4_Gene]	[NANOG_Gene]	[SOX2_Gene]	[targetGene]	[degradation]	[p53]	[A]	[OCT4]	[SOX2]	[NANOG]	[OCT4_SOX2]	[Protein]
48	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.78982
49	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.8196
50	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.84909
51	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.87828
52	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.90717
53	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.93579
54	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.96411
55	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	1.99216
56	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.01992
57	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.04741
58	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.07463
59	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.10158
60	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.12825
61	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.15467
62	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.18081
63	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.2067
64	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.23233
65	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.25771
66	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.28283
67	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.30771
68	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.33234
69	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.35672
70	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.38086
71	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.40475
72	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.42841
73	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.45184
74	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.47503
75	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.49799
76	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.52073
77	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.54323
78	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.56552
79	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.58758
80	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.60942
81	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.63104
82	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.65245
83	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.67365
84	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.69463
85	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.71541
86	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.73598
87	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.75634
88	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.77651
89	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.79647
90	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.81623
91	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.8358
92	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.85517
93	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.87435
94	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.89334
95	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.91214
96	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.93075
97	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.94917
98	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.96742
99	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	2.98548
100	0	0	0	0.01	0	0	10	7.25881	7.25881	0.00566332	0.526798	3.00336
