Time	[Tbet_mRNA]	[Ifn_mRNA]	[Ag]	[Ifn_Prot]	[Rec_Prot]	[Tbet_Prot]	[Rec_mRNA]
30	0.301471	0.366407	0.777582	35.056	7.77336	276.099	0.0118712
31	0.296158	0.383528	0.715802	36.6808	8.20754	278.27	0.0128236
32	0.289139	0.40222	0.647084	38.4156	8.70342	279.647	0.0140434
33	0.280238	0.423124	0.574083	40.3131	9.28413	280.135	0.0156061
34	0.269371	0.447002	0.5	42.4377	9.9784	279.635	0.0176
35	0.256589	0.474708	0.428034	44.8648	10.8212	278.054	0.020124
36	0.242109	0.507149	0.360871	47.6786	11.8539	275.323	0.0232864
37	0.226319	0.545208	0.300362	50.9667	13.1248	271.407	0.0271998
38	0.209744	0.589621	0.24745	54.8127	14.688	266.318	0.0319763
39	0.192994	0.64083	0.202295	59.2838	16.603	260.123	0.0377202
40	0.176686	0.698807	0.16449	64.4164	18.9328	252.94	0.0445205
41	0.161371	0.762884	0.133297	70.1992	21.742	244.933	0.0524432
42	0.147486	0.831622	0.107831	76.5582	25.0936	236.297	0.0615229
43	0.135327	0.902766	0.0871934	83.3449	29.0463	227.243	0.071757
44	0.125052	0.973316	0.0705487	90.3342	33.651	217.983	0.0830995
45	0.116702	1.03973	0.0571612	97.2321	38.9469	208.721	0.0954591
46	0.110226	1.09824	0.046406	103.696	44.9589	199.636	0.108699
47	0.105511	1.14525	0.0377652	109.367	51.6943	190.886	0.122643
48	0.102408	1.17774	0.0308165	113.905	59.1414	182.599	0.137081
49	0.100748	1.1936	0.0252194	117.024	67.2685	174.877	0.151788
50	0.100358	1.19188	0.0207016	118.529	76.0256	167.795	0.166535
51	0.101068	1.17279	0.0170459	118.331	85.3459	161.403	0.18111
52	0.102715	1.13768	0.0140798	116.452	95.1506	155.735	0.195335
53	0.105149	1.08875	0.0116663	113.02	105.353	150.801	0.209073
54	0.108232	1.02881	0.00969661	108.244	115.865	146.601	0.222243
55	0.11184	0.960938	0.0080842	102.39	126.601	143.121	0.234813
56	0.115866	0.888159	0.00676025	95.7502	137.483	140.336	0.2468
57	0.120217	0.813258	0.00566985	88.6156	148.444	138.216	0.258257
58	0.124813	0.738606	0.00476906	81.2544	159.43	136.723	0.269265
59	0.129592	0.666093	0.00402271	73.8978	170.4	135.82	0.279918
60	0.134503	0.597115	0.00340249	66.7318	181.326	135.464	0.290315
61	0.139508	0.532616	0.0028856	59.8963	192.194	135.614	0.300554
62	0.144578	0.473145	0.00245361	53.4876	202.998	136.229	0.310722
63	0.149694	0.41894	0.00209158	47.5639	213.741	137.271	0.320893
64	0.154844	0.369995	0.00178736	42.1523	224.433	138.702	0.331133
65	0.160022	0.326137	0.00153105	37.256	235.086	140.488	0.34149
66	0.165226	0.287077	0.00131455	32.8606	245.719	142.599	0.352005
67	0.170455	0.25246	0.00113123	28.94	256.35	145.005	0.362708
68	0.175714	0.221897	0.00097561	25.4606	266.997	147.681	0.373619
69	0.181008	0.194994	0.000843203	22.3854	277.681	150.604	0.384755
70	0.18634	0.171364	0.000730284	19.6759	288.418	153.755	0.396126
71	0.191719	0.150643	0.000633768	17.2942	299.228	157.116	0.407739
72	0.197148	0.132492	0.000551093	15.2044	310.126	160.671	0.419599
73	0.202635	0.116602	0.000480122	13.373	321.127	164.407	0.431709
74	0.208186	0.102697	0.000419073	11.7692	332.247	168.313	0.444071
75	0.213805	0.0905286	0.000366452	10.3653	343.496	172.379	0.456686
76	0.219499	0.0798777	0.000321006	9.13655	354.888	176.596	0.469556
77	0.225271	0.0705511	0.000281682	8.0609	366.433	180.957	0.482681
78	0.231127	0.0623795	0.000247591	7.11895	378.141	185.457	0.496063
79	0.237071	0.0552149	0.000217983	6.29363	390.021	190.09	0.509704
80	0.243106	0.048928	0.000192223	5.57004	402.08	194.852	0.523604
81	0.249237	0.0434064	0.000169772	4.93513	414.328	199.74	0.537767
82	0.255466	0.0385524	0.000150171	4.37756	426.77	204.75	0.552194
83	0.261797	0.0342808	0.00013303	3.88744	439.415	209.882	0.566888
84	0.268233	0.0305178	0.000118017	3.45619	452.267	215.133	0.581853
85	0.274778	0.0271994	0.000104847	3.07633	465.334	220.502	0.59709
86	0.281433	0.0242697	9.32748e-05	2.7414	478.62	225.988	0.612605
87	0.288202	0.0216803	8.30923e-05	2.44574	492.133	231.591	0.628399
88	0.295087	0.0193892	7.41191e-05	2.18447	505.876	237.31	0.644479
89	0.302091	0.0173596	6.62004e-05	1.95333	519.855	243.146	0.660847
90	0.309216	0.0155598	5.92023e-05	1.7486	534.076	249.099	0.677507
91	0.316466	0.0139618	5.30093e-05	1.56708	548.543	255.17	0.694466
92	0.323841	0.0125415	4.75215e-05	1.40594	563.262	261.359	0.711726
93	0.331346	0.0112777	4.26522e-05	1.26274	578.237	267.667	0.729293
94	0.338982	0.0101518	3.8326e-05	1.13533	593.475	274.095	0.747173
95	0.346752	0.00914787	3.44777e-05	1.02186	608.979	280.644	0.765369
96	0.354658	0.00825158	3.10501e-05	0.920682	624.754	287.317	0.783888
97	0.362703	0.00745056	2.79937e-05	0.830369	640.807	294.113	0.802735
98	0.37089	0.00673394	2.52649e-05	0.749668	657.142	301.035	0.821915
99	0.379221	0.00609215	2.28259e-05	0.67748	673.764	308.085	0.841434
100	0.387698	0.00551678	2.06434e-05	0.612839	690.678	315.263	0.861299
