Time	[intracellular glucose]	[G6P_F6P]	[fructose-6-phosphate]	[glyceraldehyde--phosphate]	[dihydroxyacetone-phosphate]	[DHAP-G3P pool]
62	10	1.76459	0.407214	0.0012432	0.0273502	0.0285934
63	10	1.61609	0.372945	0.00124344	0.0273553	0.0285987
64	10	1.47829	0.341143	0.0012436	0.0273589	0.0286025
65	10	1.35094	0.311755	0.00124371	0.0273613	0.028605
66	10	1.23375	0.284711	0.00124377	0.0273627	0.0286064
67	10	1.12636	0.25993	0.00124378	0.027363	0.0286068
68	10	1.02836	0.237315	0.00124376	0.0273624	0.0286061
69	10	0.939289	0.216759	0.00124369	0.0273609	0.0286045
70	10	0.858645	0.198149	0.00124358	0.0273584	0.028602
71	10	0.785906	0.181363	0.00124342	0.027355	0.0285984
72	10	0.720532	0.166277	0.00124322	0.0273506	0.0285938
73	10	0.661979	0.152764	0.00124297	0.027345	0.0285879
74	10	0.609703	0.140701	0.00124265	0.0273381	0.0285807
75	10	0.563172	0.129963	0.00124227	0.0273297	0.0285719
76	10	0.521876	0.120433	0.0012418	0.0273194	0.0285612
77	10	0.485325	0.111998	0.00124124	0.027307	0.0285482
78	10	0.45306	0.104552	0.00124054	0.0272917	0.0285322
79	10	0.424652	0.0979966	0.00123968	0.0272727	0.0285123
80	10	0.399709	0.0922406	0.00123859	0.0272487	0.0284873
81	10	0.377875	0.087202	0.00123719	0.0272179	0.0284551
82	10	0.358834	0.0828077	0.00123533	0.0271769	0.0284123
83	10	0.342312	0.0789951	0.00123275	0.0271203	0.028353
84	10	0.328094	0.075714	0.00122897	0.0270371	0.0282661
85	10	0.316046	0.0729338	0.00122292	0.026904	0.0281269
86	10	0.306203	0.0706622	0.00121171	0.0266574	0.0278691
87	10	0.299123	0.0690283	0.00118402	0.0260481	0.0272321
88	10	0.299613	0.0691415	0.00100042	0.022009	0.0230094
89	10	0.33094	0.0763707	2.89262e-07	6.3637e-06	6.65296e-06
90	10	0.363889	0.0839744	2.49004e-07	5.47803e-06	5.72704e-06
91	10	0.39683	0.0915762	3.10029e-07	6.82057e-06	7.1306e-06
92	10	0.429762	0.0991759	3.79257e-07	8.34357e-06	8.72283e-06
93	10	0.462684	0.106773	4.57029e-07	1.00545e-05	1.05116e-05
94	10	0.495594	0.114368	5.43674e-07	1.19607e-05	1.25044e-05
95	10	0.528491	0.121959	6.3951e-07	1.40691e-05	1.47086e-05
96	10	0.561374	0.129548	7.44844e-07	1.63864e-05	1.71312e-05
97	10	0.594242	0.137133	8.59975e-07	1.89193e-05	1.97792e-05
98	10	0.627093	0.144714	9.85194e-07	2.16741e-05	2.26592e-05
99	10	0.659925	0.15229	1.12078e-06	2.4657e-05	2.57778e-05
100	10	0.692738	0.159863	1.26702e-06	2.78741e-05	2.91411e-05
