Time	[x_CO2]	[RuBP_ch]	[PGA_ch]	[ATP_ch]	[BPGA_ch]	[x_NADPH_ch]	[GAP_ch]	[Pi_ch]	[DHAP_ch]	[FBP_ch]	[F6P_ch]	[E4P_ch]	[X5P_ch]	[SBP_ch]	[S7P_ch]	[R5P_ch]	[Ru5P_ch]	[x_Pi_cyt]	[x_GAP_cyt]	[G6P_ch]	[x_NADP_ch]	[x_PGA_cyt]	[ADP_ch]	[x_DHAP_cyt]	[x_Proton_ch]	[G1P_ch]	[x_Starch_ch]
24	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
25	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
26	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
27	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
28	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
29	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
30	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
31	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
32	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
33	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
34	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
35	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
36	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
37	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
38	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
39	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
40	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
41	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
42	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
43	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
44	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
45	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
46	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
47	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
48	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
49	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
50	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
51	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
52	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
53	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
54	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
55	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
56	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
57	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
58	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
59	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
60	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
61	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
62	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
63	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
64	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
65	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
66	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
67	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
68	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
69	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
70	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
71	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
72	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
73	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
74	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
75	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
76	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
77	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
78	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
79	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
80	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
81	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
82	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
83	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
84	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
85	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
86	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
87	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
88	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
89	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
90	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
91	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
92	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
93	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
94	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
95	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
96	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
97	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
98	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
99	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
100	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
