Time	[PER Protein (unphosphorylated)]	[TIM Protein (unphosphorylated)]	[PER Protein (mono-phosphorylated)]	[TIM Protein (mono-phosphorylated)]	[PER Protein (bi-phosphorylated)]	[TIM Protein (bi-phosphorylated)]	[Cytosolic PER-TIM Complex]	[Nuclear PER-TIM Complex]	[PER mRNA]	[TIM mRNA]
28	0.0809951	0.0809951	0.0699055	0.0699055	0.040648	0.040648	0.168713	0.928822	0.344219	0.344219
29	0.117987	0.117987	0.101464	0.101464	0.0548001	0.0548001	0.153441	0.839813	0.490497	0.490497
30	0.167235	0.167235	0.14393	0.14393	0.0761255	0.0761255	0.140692	0.760082	0.675124	0.675124
31	0.229647	0.229647	0.198397	0.198397	0.107217	0.107217	0.131312	0.689442	0.894559	0.894559
32	0.305288	0.305288	0.265298	0.265298	0.15141	0.15141	0.127116	0.628444	1.14165	1.14165
33	0.393577	0.393577	0.344592	0.344592	0.212747	0.212747	0.131674	0.578966	1.40744	1.40744
34	0.493418	0.493418	0.435853	0.435853	0.295196	0.295196	0.151414	0.545207	1.68246	1.68246
35	0.603009	0.603009	0.538005	0.538005	0.40057	0.40057	0.196449	0.535073	1.95651	1.95651
36	0.718854	0.718854	0.648498	0.648498	0.525764	0.525764	0.279402	0.561278	2.21601	2.21601
37	0.832743	0.832743	0.761523	0.761523	0.661483	0.661483	0.410513	0.6406	2.43555	2.43555
38	0.923991	0.923991	0.863723	0.863723	0.792985	0.792985	0.589747	0.789691	2.55902	2.55902
39	0.949499	0.949499	0.926081	0.926081	0.899343	0.899343	0.797645	1.01703	2.49207	2.49207
40	0.863698	0.863698	0.904334	0.904334	0.951012	0.951012	0.985878	1.31122	2.18449	2.18449
41	0.678277	0.678277	0.773871	0.773871	0.915032	0.915032	1.08049	1.62887	1.71026	1.71026
42	0.458027	0.458027	0.566636	0.566636	0.768756	0.768756	1.01927	1.89559	1.17557	1.17557
43	0.258146	0.258146	0.345499	0.345499	0.512903	0.512903	0.809199	2.03441	0.656285	0.656285
44	0.106589	0.106589	0.157595	0.157595	0.21162	0.21162	0.557814	2.0148	0.236617	0.236617
45	0.026841	0.026841	0.0448661	0.0448661	0.0574835	0.0574835	0.400187	1.88557	0.0490196	0.0490196
46	0.00970457	0.00970457	0.0138473	0.0138473	0.0281841	0.0281841	0.32775	1.72241	0.0316823	0.0316823
47	0.0105439	0.0105439	0.0115187	0.0115187	0.023147	0.023147	0.286679	1.56128	0.0440706	0.0440706
48	0.0152477	0.0152477	0.0149231	0.0149231	0.0223623	0.0223623	0.256456	1.41194	0.0658933	0.0658933
49	0.022816	0.022816	0.0210739	0.0210739	0.0232211	0.0232211	0.231058	1.27601	0.0992657	0.0992657
50	0.0343541	0.0343541	0.0306398	0.0306398	0.0257976	0.0257976	0.208682	1.15298	0.149357	0.149357
51	0.0516369	0.0516369	0.045108	0.045108	0.030762	0.030762	0.188719	1.04183	0.222974	0.222974
52	0.0768687	0.0768687	0.0664072	0.0664072	0.0391792	0.0391792	0.170948	0.941548	0.327457	0.327457
53	0.112325	0.112325	0.0966143	0.0966143	0.0525283	0.0525283	0.155365	0.851253	0.46855	0.46855
54	0.159848	0.159848	0.137531	0.137531	0.0727502	0.0727502	0.14224	0.770295	0.648114	0.648114
55	0.220465	0.220465	0.190342	0.190342	0.102349	0.102349	0.132328	0.698419	0.863214	0.863214
56	0.294346	0.294346	0.255561	0.255561	0.144554	0.144554	0.127275	0.636051	1.10707	1.10707
57	0.380983	0.380983	0.333202	0.333202	0.203334	0.203334	0.130354	0.58484	1.37089	1.37089
58	0.479352	0.479352	0.422893	0.422893	0.282756	0.282756	0.147543	0.5486	1.64523	1.64523
59	0.587778	0.587778	0.523681	0.523681	0.38509	0.38509	0.188458	0.534654	1.92007	1.92007
60	0.703102	0.703102	0.633289	0.633289	0.508023	0.508023	0.265581	0.555051	2.18261	2.18261
61	0.818067	0.818067	0.746516	0.746516	0.643071	0.643071	0.389892	0.626179	2.40988	2.40988
62	0.91434	0.91434	0.851427	0.851427	0.776194	0.776194	0.563247	0.765093	2.55123	2.55123
63	0.95188	0.95188	0.921572	0.921572	0.887466	0.887466	0.769388	0.981982	2.51532	2.51532
64	0.882123	0.882123	0.913572	0.913572	0.948473	0.948473	0.964225	1.2689	2.23818	2.23818
65	0.706846	0.706846	0.797191	0.797191	0.925988	0.925988	1.07592	1.5872	1.77967	1.77967
66	0.487382	0.487382	0.596705	0.596705	0.795185	0.795185	1.03734	1.86566	1.24816	1.24816
67	0.282707	0.282707	0.374148	0.374148	0.552677	0.552677	0.843259	2.02504	0.722793	0.722793
68	0.123382	0.123382	0.179602	0.179602	0.248261	0.248261	0.588199	2.02564	0.282526	0.282526
69	0.0328881	0.0328881	0.0543304	0.0543304	0.0671397	0.0671397	0.414881	1.90627	0.0594335	0.0594335
70	0.0102922	0.0102922	0.0153612	0.0153612	0.0297807	0.0297807	0.334906	1.74466	0.0310697	0.0310697
71	0.0101252	0.0101252	0.011327	0.011327	0.0234427	0.0234427	0.291347	1.58237	0.0418303	0.0418303
72	0.0144607	0.0144607	0.0143026	0.0143026	0.0223614	0.0223614	0.260177	1.43126	0.0623725	0.0623725
73	0.0215983	0.0215983	0.0200729	0.0200729	0.0230153	0.0230153	0.23428	1.29354	0.0939319	0.0939319
74	0.0325105	0.0325105	0.0291044	0.0291044	0.0253305	0.0253305	0.211546	1.16883	0.141405	0.141405
75	0.0488982	0.0488982	0.0428077	0.0428077	0.02992	0.02992	0.191277	1.05614	0.211421	0.211421
76	0.0729237	0.0729237	0.0630653	0.0630653	0.0377956	0.0377956	0.173215	0.95445	0.311351	0.311351
77	0.106882	0.106882	0.0919576	0.0919576	0.0503785	0.0503785	0.157329	0.862855	0.447303	0.447303
78	0.1527	0.1527	0.131348	0.131348	0.0695432	0.0695432	0.143844	0.780666	0.621757	0.621757
79	0.211527	0.211527	0.182514	0.182514	0.0977092	0.0977092	0.133428	0.707562	0.8324	0.8324
80	0.283639	0.283639	0.246053	0.246053	0.138	0.138	0.127576	0.643852	1.07287	1.07287
81	0.368607	0.368607	0.322034	0.322034	0.1943	0.1943	0.129284	0.590977	1.33455	1.33455
82	0.465476	0.465476	0.41014	0.41014	0.270743	0.270743	0.144097	0.552387	1.60803	1.60803
83	0.572683	0.572683	0.509527	0.509527	0.369999	0.369999	0.181127	0.534848	1.88345	1.88345
84	0.687366	0.687366	0.618161	0.618161	0.490516	0.490516	0.252634	0.549741	2.14863	2.14863
85	0.803093	0.803093	0.731385	0.731385	0.624639	0.624639	0.370193	0.612999	2.38274	2.38274
86	0.903658	0.903658	0.838541	0.838541	0.759028	0.759028	0.537394	0.741942	2.54022	2.54022
87	0.952231	0.952231	0.915638	0.915638	0.874696	0.874696	0.740987	0.94826	2.53394	2.53394
88	0.89852	0.89852	0.920749	0.920749	0.944413	0.944413	0.941078	1.22722	2.2885	2.2885
89	0.734618	0.734618	0.818911	0.818911	0.934946	0.934946	1.06853	1.54484	1.84779	1.84779
90	0.517047	0.517047	0.626395	0.626395	0.819522	0.819522	1.05243	1.83353	1.32084	1.32084
91	0.308089	0.308089	0.403318	0.403318	0.591054	0.591054	0.876077	2.01268	0.790704	0.790704
92	0.141415	0.141415	0.202832	0.202832	0.287409	0.287409	0.620359	2.03423	0.332506	0.332506
93	0.040299	0.040299	0.0655468	0.0655468	0.079411	0.079411	0.431318	1.92628	0.0736468	0.0736468
94	0.0112068	0.0112068	0.0174226	0.0174226	0.031808	0.031808	0.342656	1.76694	0.0309229	0.0309229
95	0.00977122	0.00977122	0.0112332	0.0112332	0.0238118	0.0238118	0.296219	1.60368	0.0397467	0.0397467
96	0.0137221	0.0137221	0.0137285	0.0137285	0.0223889	0.0223889	0.263988	1.45084	0.0590479	0.0590479
97	0.0204481	0.0204481	0.0191299	0.0191299	0.0228389	0.0228389	0.237558	1.31131	0.088884	0.088884
98	0.0307655	0.0307655	0.0276531	0.0276531	0.024904	0.024904	0.214455	1.18489	0.13386	0.13386
99	0.0462979	0.0462979	0.040626	0.040626	0.0291371	0.0291371	0.193874	1.07065	0.200412	0.200412
100	0.0691595	0.0691595	0.0598806	0.0598806	0.0364968	0.0364968	0.175522	0.967535	0.295905	0.295905
