Time	[EmptySet]	[PER mRNA]	[unphosphorylated PER]	[monophosphorylated PER]	[biphosphorylated PER]	[nuclear PER]	[total PER]
54	0	2.05895	0.816672	0.424253	0.25373	0.347995	1.84265
55	0	2.27722	0.953076	0.485939	0.292293	0.388443	2.11975
56	0	2.47773	1.09886	0.554378	0.341545	0.447481	2.44227
57	0	2.6539	1.25136	0.6281	0.400203	0.522084	2.80175
58	0	2.79369	1.40571	0.705453	0.467198	0.610246	3.18861
59	0	2.8795	1.55335	0.784074	0.541213	0.710159	3.5888
60	0	2.89156	1.68123	0.8605	0.620299	0.819552	3.98158
61	0	2.81575	1.77286	0.930058	0.701616	0.935176	4.33971
62	0	2.65112	1.81199	0.987161	0.781323	1.05248	4.63296
63	0	2.41083	1.7873	1.02592	0.854634	1.16553	4.83339
64	0	2.11651	1.69594	1.04085	0.915958	1.26709	4.91983
65	0	1.79199	1.54445	1.0275	0.959067	1.3488	4.87982
66	0	1.46031	1.34779	0.983299	0.977361	1.40151	4.70995
67	0	1.14404	1.12697	0.908595	0.964477	1.41576	4.4158
68	0	0.866886	0.90582	0.807994	0.915594	1.38306	4.01247
69	0	0.654767	0.706984	0.691015	0.829667	1.29817	3.52584
70	0	0.5341	0.548206	0.571049	0.712154	1.16252	2.99393
71	0	0.527522	0.440395	0.46241	0.576711	0.987522	2.46704
72	0	0.645464	0.388249	0.377313	0.443751	0.795491	2.0048
73	0	0.865141	0.390253	0.323909	0.334635	0.615516	1.66431
74	0	1.13153	0.43699	0.304019	0.262562	0.47376	1.47733
75	0	1.40152	0.515462	0.312929	0.227509	0.382832	1.43873
76	0	1.65936	0.615638	0.343206	0.221454	0.340237	1.52053
77	0	1.9024	0.731665	0.388411	0.236158	0.336148	1.69238
78	0	2.13075	0.860361	0.444239	0.266089	0.360825	1.93151
79	0	2.34346	0.999735	0.508071	0.308071	0.407327	2.2232
80	0	2.53674	1.14778	0.578201	0.360312	0.471357	2.55765
81	0	2.70236	1.30126	0.65314	0.421636	0.550289	2.92632
82	0	2.8264	1.45423	0.731044	0.490926	0.642236	3.31843
83	0	2.88999	1.5967	0.809219	0.566684	0.745285	3.71788
84	0	2.87431	1.71428	0.883799	0.646686	0.85688	4.10164
85	0	2.76898	1.79012	0.949765	0.727766	0.973366	4.44102
86	0	2.57794	1.80912	1.00136	0.805766	1.08974	4.70598
87	0	2.31785	1.76249	1.03278	0.875624	1.19962	4.87051
88	0	2.01157	1.65046	1.03879	0.931526	1.29538	4.91616
89	0	1.68274	1.4825	1.01549	0.96709	1.36839	4.83348
90	0	1.35413	1.27581	0.961119	0.975716	1.40933	4.62197
91	0	1.04845	1.05269	0.877297	0.951377	1.40889	4.29025
92	0	0.790125	0.836954	0.770221	0.890223	1.35936	3.85676
93	0	0.605561	0.649976	0.650885	0.793064	1.25731	3.35123
94	0	0.520486	0.507321	0.533332	0.667976	1.10714	2.81577
95	0	0.554964	0.417724	0.431437	0.531171	0.923963	2.30429
96	0	0.711077	0.38404	0.356283	0.404189	0.732989	1.8775
97	0	0.952339	0.402193	0.314179	0.306682	0.56358	1.58664
98	0	1.2229	0.460763	0.304583	0.247521	0.438289	1.45116
99	0	1.48947	0.547258	0.321376	0.223104	0.364287	1.45602
100	0	1.74231	0.653131	0.35718	0.224708	0.335657	1.57068
