Time	[EmptySet]	[cdc2k]	[cdc2k-P]	[p-cyclin_cdc2]	[p-cyclin_cdc2-p]	[cyclin]	[p-cyclin]	[total_cyclin]	[total_cdc2]
40	0	0.000703625	0.703618	0.0076249	0.288054	0.000106584	0.0113477	0.307133	1
41	0	0.000696559	0.696551	0.0082402	0.294512	0.000107666	0.0122105	0.31507	1
42	0	0.000690156	0.690147	0.00895774	0.300205	0.000108666	0.0131868	0.322458	1
43	0	0.00068454	0.68453	0.00982372	0.304962	0.000109558	0.0143198	0.329215	1
44	0	0.000679894	0.679883	0.0109203	0.308517	0.000110308	0.0156812	0.335229	1
45	0	0.000676521	0.676509	0.0124108	0.310404	0.00011086	0.0174013	0.340327	1
46	0	0.000674976	0.674962	0.0146751	0.309688	0.000111117	0.0197494	0.344224	1
47	0	0.000676485	0.676467	0.018848	0.304009	0.000110875	0.0234061	0.346374	1
48	0	0.000684869	0.684838	0.0303446	0.284132	0.000109533	0.0308455	0.345432	1
49	0	0.000729239	0.729107	0.131674	0.138489	0.000102977	0.0649084	0.335175	1
50	0	0.000876537	0.87642	0.117618	0.00508563	8.5633e-05	0.155776	0.278565	1
51	0	0.000939123	0.939074	0.0480882	0.0118982	7.98809e-05	0.141395	0.201461	1
52	0	0.000955875	0.955855	0.0196703	0.0235184	7.84658e-05	0.100472	0.14374	1
53	0	0.000953885	0.953877	0.00811427	0.0370549	7.86235e-05	0.0645083	0.109756	1
54	0	0.000944404	0.9444	0.00363743	0.051018	7.94104e-05	0.0393852	0.0941201	1
55	0	0.000932117	0.932115	0.00205557	0.064897	8.04562e-05	0.0235894	0.0906223	1
56	0	0.000918909	0.918907	0.00161044	0.0785636	8.16122e-05	0.0142666	0.0945223	1
57	0	0.000905507	0.905506	0.00160016	0.0919885	8.28199e-05	0.0090208	0.102692	1
58	0	0.000892192	0.89219	0.00175499	0.105163	8.40558e-05	0.00621205	0.113214	1
59	0	0.000879067	0.879065	0.0019734	0.118082	8.53108e-05	0.0048169	0.124958	1
60	0	0.000866176	0.866174	0.00221761	0.130743	8.65804e-05	0.00422747	0.137274	1
61	0	0.000853535	0.853532	0.00247387	0.14314	8.78626e-05	0.00409307	0.149795	1
62	0	0.000841154	0.841151	0.00273752	0.15527	8.91558e-05	0.00421521	0.162312	1
63	0	0.00082904	0.829037	0.00300738	0.167127	9.04586e-05	0.00448308	0.174708	1
64	0	0.000817198	0.817195	0.0032837	0.178704	9.17693e-05	0.00483566	0.186915	1
65	0	0.000805636	0.805633	0.00356738	0.189994	9.30864e-05	0.00523992	0.198895	1
66	0	0.000794362	0.794358	0.00385966	0.200988	9.44076e-05	0.00567857	0.210621	1
67	0	0.000783384	0.78338	0.00416208	0.211674	9.57305e-05	0.00614318	0.222075	1
68	0	0.000772715	0.77271	0.0044765	0.22204	9.70524e-05	0.00663041	0.233244	1
69	0	0.000762366	0.762362	0.00480516	0.232071	9.83699e-05	0.00713998	0.244114	1
70	0	0.000752354	0.752349	0.00515077	0.241748	9.96791e-05	0.0076736	0.254672	1
71	0	0.000742698	0.742692	0.00551671	0.251048	0.000100975	0.00823452	0.264901	1
72	0	0.000733418	0.733412	0.00590726	0.259947	0.000102253	0.00882741	0.274784	1
73	0	0.000724544	0.724537	0.00632797	0.26841	0.000103506	0.00945855	0.2843	1
74	0	0.000716107	0.716101	0.00678622	0.276397	0.000104726	0.0101363	0.293424	1
75	0	0.000708152	0.708144	0.00729219	0.283855	0.000105902	0.0108718	0.302125	1
76	0	0.000700731	0.700723	0.00786036	0.290716	0.000107024	0.0116806	0.310363	1
77	0	0.000693918	0.693909	0.00851233	0.296884	0.000108076	0.0125847	0.318089	1
78	0	0.000687811	0.687802	0.00928216	0.302228	0.000109036	0.0136171	0.325236	1
79	0	0.000682555	0.682545	0.0102273	0.306545	0.000109877	0.0148304	0.331713	1
80	0	0.000678372	0.67836	0.0114542	0.309507	0.000110556	0.0163144	0.337386	1
81	0	0.00067564	0.675627	0.0131866	0.310511	0.000111006	0.0182399	0.342048	1
82	0	0.0006751	0.675084	0.0159906	0.308251	0.000111099	0.0209854	0.345338	1
83	0	0.000678575	0.678554	0.0218256	0.298942	0.000110537	0.0256246	0.346503	1
84	0	0.000693303	0.693259	0.0438026	0.262245	0.000108217	0.0371911	0.343347	1
85	0	0.000793549	0.79336	0.189275	0.0165708	9.46662e-05	0.114031	0.319971	1
86	0	0.000909961	0.909879	0.0822733	0.00693758	8.24622e-05	0.157458	0.246751	1
87	0	0.000949258	0.949225	0.0336704	0.0161558	7.90201e-05	0.125537	0.175443	1
88	0	0.000956484	0.95647	0.0137679	0.0288054	7.84128e-05	0.0849026	0.127554	1
89	0	0.000950644	0.950638	0.00579045	0.0426208	7.88904e-05	0.0531934	0.101684	1
90	0	0.000939691	0.939688	0.00279195	0.0565799	7.98082e-05	0.0321208	0.0915725	1
91	0	0.000926899	0.926897	0.0017954	0.0703807	8.09089e-05	0.0192425	0.0914995	1
92	0	0.00091356	0.913559	0.00157503	0.0839526	8.20899e-05	0.0117915	0.0974012	1
93	0	0.000900173	0.900172	0.00165004	0.0972782	8.33106e-05	0.00767606	0.106688	1
94	0	0.000886926	0.886924	0.0018375	0.110351	8.45548e-05	0.00552691	0.1178	1
95	0	0.000873892	0.87389	0.00206888	0.123168	8.58159e-05	0.00450899	0.129831	1
96	0	0.000861099	0.861096	0.00231885	0.135724	8.70908e-05	0.00413291	0.142262	1
97	0	0.000848561	0.848558	0.00257835	0.148015	8.83776e-05	0.00411872	0.1548	1
98	0	0.000836286	0.836283	0.00284451	0.160036	8.96748e-05	0.00430891	0.16728	1
99	0	0.000824279	0.824276	0.00311687	0.171783	9.0981e-05	0.00461599	0.179606	1
100	0	0.000812549	0.812545	0.003396	0.183246	9.22945e-05	0.00499207	0.191727	1
